num_samples,run,mi_emp,mi_miller,mi_chao,seed
400,0,3.9173738853074207,-4.602626114692579,3.559046974612703,4026997332
400,1,4.004413619364218,-6.195586380635781,3.744362532000149,2731277018
400,2,3.9448598682139053,-5.305140131786095,3.6121340013423224,2700538377
400,3,4.055929485672316,-6.204070514327684,3.638777167123904,1536876368
400,4,4.030615543974138,-7.309384456025862,3.62266297706313,1695652623
400,5,3.8611049864602105,-4.023895013539789,3.6135042526562895,2757497772
400,6,3.9651110137301817,-5.659888986269818,3.6258902012916234,2280268754
400,7,4.038042444694538,-6.004457555305462,3.603821213769608,4181530542
400,8,3.9618116036667175,-5.3194383963332825,3.6927738730473845,449135031
400,9,3.8692750645265246,-5.755724935473475,3.5216052673736282,3406126822
400,10,4.129104135326319,-6.205895864673682,3.790961727207341,279918338
400,11,3.876321929109899,-4.231178070890101,3.5399547960698965,3030185033
400,12,4.175562346255795,-5.896937653744205,3.8547913458584158,3093184954
400,13,4.014020959642522,-6.185979040357477,3.767608654146667,3253490325
400,14,4.0535490284975655,-6.245200971502435,3.6605349977004584,288548433
400,15,3.9551012254984865,-5.6073987745015135,3.4635643461484196,1806416327
400,16,3.9893660170982734,-5.250633982901727,3.686377793328044,3975157579
400,17,3.6756785156003122,-3.5268214843996875,3.3258766286052954,1719528740
400,18,3.8184740179451477,-4.8765259820548525,3.5404051823522544,595472773
400,19,3.9826045435483746,-5.864895456451626,3.571953848605423,3874830185
400,20,3.93929897604127,-6.10320102395873,3.668494195231148,2764688197
400,21,3.8086277024732986,-5.746372297526701,3.5006760745537857,2082320844
400,22,3.956427226935766,-5.208572773064233,3.542599722735023,2490001931
400,23,3.9098458054951726,-5.180154194504827,3.5703127937962504,2677404264
400,24,3.8800114319039327,-5.768738568096067,3.586604924834135,2285096093
400,25,3.951115187245403,-5.866384812754598,3.555720612462452,1829438570
400,26,3.9223470632592203,-5.1451529367407804,3.6806862309286736,3113441090
400,27,4.0896599701993415,-7.0665900298006585,3.792441236714395,483218288
400,28,3.790330941747281,-4.454669058252718,3.2944975879281815,2734985267
400,29,3.8676527943563936,-4.326097205643606,3.5089789114813392,2617265704
800,0,3.8340423899378298,-4.35345761006217,3.5126556109387126,4184884482
800,1,3.8797681982305976,-4.340231801769403,3.586986500671055,3695692181
800,2,3.8984071331599424,-4.601592866840058,3.633491141061295,316176341
800,3,3.821932410485383,-4.199317589514617,3.4914229575794655,820709085
800,4,3.8720485100493836,-4.839201489950616,3.568620058148358,337267845
800,5,3.810467528744333,-5.090157471255667,3.5327261781933093,1174674970
800,6,3.7901110928525403,-3.8298889071474598,3.486714346712574,2262041736
800,7,3.8553115755794174,-4.374063424420582,3.574056205879972,1999898749
800,8,3.880975419234151,-4.08152458076585,3.6502983393265165,991627035
800,9,3.8149175317130632,-3.2163324682869368,3.4800910288307363,1706399859
800,10,3.864404657105972,-3.949345342894028,3.6011878176514314,4170243959
800,11,3.9065906609952696,-4.827159339004731,3.5858852060341637,3890953521
800,12,3.794904784634914,-3.7913452153650855,3.453368445591233,3166025557
800,13,3.879435907776408,-4.062439092223592,3.643107493646081,1206443719
800,14,3.8699811350220283,-4.120018864977972,3.4726188302303154,1071768170
800,15,3.816480940123401,-4.246019059876599,3.410658597739138,1187677890
800,16,3.7229901437014536,-3.7770098562985464,3.402156032682832,1909330072
800,17,3.747604918316531,-3.3248950816834686,3.521999198343676,834966941
800,18,3.880347876799404,-3.957152123200596,3.5726000408337186,4232788400
800,19,4.052030733824067,-5.594844266175933,3.749110787541872,1844677234
800,20,3.748240276513638,-3.811759723486362,3.4060847481504957,3474990757
