num_samples,run,mi_emp,mi_miller,mi_chao,seed
400,0,5.5003982347769504,-37.23835176522305,-37.1317713412829,1603988808
400,1,5.468106682738544,-32.839393317261454,-32.743863392074424,2603028832
400,2,5.409165663338843,-32.02083433666115,1.3444034103329767,3178718203
400,3,5.499293370896593,-34.783206629103404,-0.29151338445692954,1619735674
400,4,5.319172985584853,-28.31832701441515,2.6951926620751854,602620446
400,5,5.444146396842616,-31.774603603157384,0.7219110647206559,961961834
400,6,5.378065267134364,-31.465684732865636,4.2446708557871204,564532246
400,7,5.288805574566403,-30.2074444254336,-30.2074444254336,2535606385
400,8,5.503301496274652,-34.881698503725346,2.1022786054188596,535090811
400,9,5.353862230915281,-32.56863776908472,-1.1901437588294304,1189013583
400,10,5.388189891096532,-31.756810108903473,2.2490872378884954,3254770627
400,11,5.374827900541865,-30.88517209945813,-30.794748159308504,877836314
400,12,5.435753909509156,-33.47174609049084,1.6857037552555671,3340846089
400,13,5.41973076673457,-32.10526923326543,-1.0228361750936132,670769574
400,14,5.508721920900962,-34.58627807909904,-34.48629054792696,3711943923
400,15,5.5195009250949685,-35.85049907490503,-35.74733199261077,3801688848
400,16,5.2041827260256035,-26.315817273974396,-26.315817273974396,96416648
400,17,5.581918643715216,-36.38683135628479,2.7226376190731023,2065354154
400,18,5.364081864481079,-30.679668135518924,-30.589783472177274,2956424222
400,19,5.205366082092105,-28.369633917907898,-28.369633917907894,913328043
400,20,5.529535261190116,-35.840464738809885,1.9130777926337568,847342148
400,21,5.420482380324859,-32.702017619675146,2.8913097119612985,2854112008
400,22,5.461635710134161,-33.14836428986584,2.527926832863961,3911224096
400,23,5.338229565410693,-29.451770434589307,-0.44513915169726204,406348230
400,24,5.233971186650551,-28.403528813349453,-28.3196447734492,847020406
400,25,5.417885620412159,-31.425864379587843,2.50467848390072,954145898
400,26,5.3970948171786315,-32.127905182821365,-32.03432662920541,86171607
400,27,5.37532490239024,-31.864675097609762,2.2420937363281412,3911188642
400,28,5.4541239170449405,-32.46837608295506,-0.2667950565331374,2486567053
400,29,5.486572092263394,-32.83092790773661,1.7902124421152608,2726131963
800,0,5.4772430818883056,-43.460256918111696,2.76702942278202,1328589040
800,1,5.4986318648159695,-42.21324313518403,-42.1536777481678,3932550356
800,2,5.544912608365779,-42.90321239163422,3.651554293624828,816084077
800,3,5.5447373384945156,-46.262762661505484,2.8096620537836747,573974984
