Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller,HyLeak
6,0,0.1507127285003662,0.1418023109436035,0.1497144699096679,0.1574690341949463,0.1439080238342285,0.1385304927825927,0.1436271667480468,0.1480603218078613,0.000241994857788,0.0001957416534423,0.072
12,0,0.1654877662658691,0.2118518352508545,0.2101664543151855,0.2160141468048095,0.0789623260498046,0.0607879161834716,0.0968353748321533,0.0644433498382568,0.0001554489135742,0.0001909732818603,0.071
24,0,0.3903744220733642,0.3720483779907226,0.4094600677490234,0.4089577198028564,0.1857111454010009,0.2410840988159179,0.1330049037933349,0.2314934730529785,0.0001671314239501,0.0001986026763916,0.07
60,0,0.0430595874786376,0.0390083789825439,0.0437042713165283,0.0491163730621337,0.0596668720245361,0.0568912029266357,0.063605785369873,0.0616767406463623,0.000110387802124,0.000129222869873,0.077
6,1,0.291849136352539,0.298577070236206,0.2821013927459717,0.3108181953430176,0.1075749397277832,0.113452672958374,0.1113507747650146,0.1125016212463378,0.0001463890075683,0.0001788139343261,0.072
12,1,0.2881588935852051,0.2800648212432861,0.2886800765991211,0.2840569019317627,0.2619252204895019,0.2532877922058105,0.2615814208984375,0.2547914981842041,0.0001468658447265,0.0001790523529052,0.095
24,1,0.4187543392181396,0.4150090217590332,0.3950676918029785,0.375535249710083,0.1256327629089355,0.1185970306396484,0.1293187141418457,0.1275529861450195,0.000171422958374,0.0002036094665527,0.078
60,1,0.0452592372894287,0.0460202693939209,0.0486643314361572,0.054802656173706,0.0472252368927001,0.0459933280944824,0.0507979393005371,0.0505001544952392,0.0002079010009765,0.000246524810791,0.076
6,2,0.0256001949310302,0.0413367748260498,0.0564641952514648,0.0524909496307373,0.045577049255371,0.0453331470489501,0.0493619441986084,0.0476031303405761,0.0001544952392578,0.0001859664916992,0.075
12,2,0.1934523582458496,0.1936745643615722,0.2113847732543945,0.2151784896850586,0.1908035278320312,0.1916959285736084,0.2051668167114257,0.1966116428375244,0.0001509189605712,0.0001816749572753,0.074
24,2,0.4630978107452392,0.4533536434173584,0.4833009243011474,0.4830448627471924,0.1156003475189209,0.1896846294403076,0.2015624046325683,0.1732904911041259,0.0001862049102783,0.0002241134643554,0.076
60,2,0.0123910903930664,0.0099408626556396,0.0110235214233398,0.009932518005371,0.0143132209777832,0.0100417137145996,0.0159330368041992,0.013049840927124,0.0001688003540039,0.0002026557922363,0.076
6,3,0.1501374244689941,0.1561110019683838,0.1677534580230713,0.1671483516693115,0.1425974369049072,0.1394414901733398,0.1469790935516357,0.1482491493225097,0.000157356262207,0.0001986026763916,0.073
12,3,0.2150397300720214,0.2059485912322998,0.2344229221343994,0.2283968925476074,0.253934383392334,0.2579796314239502,0.2529463768005371,0.2502114772796631,0.0001587867736816,0.0001909732818603,0.072
24,3,0.3646588325500488,0.3440899848937988,0.3905255794525146,0.3823559284210205,0.1118595600128173,0.1030683517456054,0.1087110042572021,0.1039178371429443,0.0001566410064697,0.0001904964447021,0.071
60,3,0.2613523006439209,0.1930944919586181,0.2750685214996338,0.2771313190460205,0.0142791271209716,0.0119996070861816,0.0147230625152587,0.0114111900329589,0.0001015663146972,0.0001213550567626,0.075
6,4,0.1735711097717285,0.1737143993377685,0.1997883319854736,0.1982996463775634,0.1494412422180175,0.1549789905548095,0.1655759811401367,0.1576981544494629,0.0001280307769775,0.0001547336578369,0.07
12,4,0.1244099140167236,0.1919095516204834,0.21983003616333,0.2175221443176269,0.1001660823822021,0.1000597476959228,0.1030423641204834,0.100816011428833,0.0001683235168457,0.0002036094665527,0.075
24,4,0.2167282104492187,0.2146432399749755,0.2342545986175537,0.2306022644042968,0.1064410209655761,0.0989215373992919,0.1010529994964599,0.1035029888153076,0.0001742839813232,0.0002033710479736,0.072
60,4,0.5938601493835449,0.6183478832244873,0.6777222156524658,0.661238431930542,0.1474804878234863,0.1426761150360107,0.1546676158905029,0.1557550430297851,0.0001823902130126,0.0004611015319824,0.075
6,5,0.262498140335083,0.2665233612060547,0.2720859050750732,0.2419424057006836,0.1107954978942871,0.117429494857788,0.1133015155792236,0.1135776042938232,0.0001528263092041,0.0001633167266845,0.071
12,5,0.2493536472320556,0.246910810470581,0.2441146373748779,0.2402663230895996,0.1133391857147216,0.1017184257507324,0.1110141277313232,0.1093919277191162,0.0001387596130371,0.0001661777496337,0.071
24,5,0.2109794616699218,0.211378812789917,0.2170367240905761,0.2245566844940185,0.2829289436340332,0.2789435386657715,0.2983927726745605,0.2916877269744873,0.0001740455627441,0.0002064704895019,0.075
60,5,0.4132428169250488,0.4266676902770996,0.4318523406982422,0.4256703853607178,0.0290172100067138,0.0271885395050048,0.0292143821716308,0.026979923248291,0.000190258026123,0.0002462863922119,0.082
6,6,0.1627881526947021,0.1585924625396728,0.1830804347991943,0.1859982013702392,0.0933685302734375,0.0743670463562011,0.0917909145355224,0.0787546634674072,0.0001552104949951,0.0001952648162841,0.074
12,6,0.2480075359344482,0.2529237270355224,0.4208049774169922,0.4303059577941894,0.1025862693786621,0.1020669937133789,0.1111769676208496,0.1154463291168212,9.822845458984376e-05,0.0001184940338134,0.072
24,6,0.5274984836578369,0.5562057495117188,0.574704647064209,0.573115348815918,0.0523910522460937,0.0446772575378418,0.0533146858215332,0.0537855625152587,0.0001752376556396,0.0002071857452392,0.077
60,6,0.0134389400482177,0.0107247829437255,0.0139479637145996,0.0112557411193847,0.0152089595794677,0.0136530399322509,0.0151925086975097,0.0135362148284912,0.0001990795135498,0.0002381801605224,0.076
6,7,0.2698094844818115,0.2674825191497803,0.2463266849517822,0.2860176563262939,0.0693666934967041,0.1066811084747314,0.0820033550262451,0.079766035079956,0.0001475811004638,0.0001811981201171,0.07
12,7,0.2731149196624756,0.2539436817169189,0.2756304740905761,0.2607717514038086,0.1467885971069336,0.1518378257751464,0.1515026092529297,0.1471562385559082,0.000157356262207,0.000190258026123,0.073
24,7,0.2133443355560302,0.3618597984313965,0.382725715637207,0.3974437713623047,0.2538869380950928,0.2604594230651855,0.2529466152191162,0.2617862224578857,0.0001716613769531,0.0002026557922363,0.074
