Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller,GT,HyLeak
6,0,0.0657226655035998,0.1907226655035998,0.1054590728947999,0.3194063478462389,0.1679276140000076,0.2256199216923153,0.0794189813492203,0.137111289041528,0.2152390544959563,0.0485723878292897,0.0658252734488618,0.1264459947673183
12,0,0.0530710967984385,0.1750223163106336,0.1634927669283057,0.2583241667081652,0.1367734896360344,0.1870363786014438,0.071700371324909,0.1235941565512678,0.1891512490517997,0.0502623601629108,0.0658252734488618,0.1076324472603698
24,0,0.1026116642944992,0.1848034451164171,0.1356328102596323,0.2023141738992791,0.0949829731410791,0.1623987034781577,0.0870495135144501,0.1544652438515288,0.1848067480731163,0.101473414739783,0.0658252734488618,0.0907261822264519
60,0,0.125583525103739,0.1417498068589353,0.1281987722649995,0.1278723398047717,0.1132178754457697,0.1275018226380796,0.0988623796834876,0.1135320819923452,0.1330215326864832,0.0941326437975943,0.0658252734488618,0.0861758601250529
6,1,0.2027244617348085,0.3606191985769138,0.4359640692040544,0.4435511727373676,0.1449833654375379,0.264983365437538,0.1449833654375379,0.264983365437538,0.36056805531517,0.1939013886485033,0.0658252734488618,0.171412149709223
12,1,0.0676996742599114,0.1758077823680195,0.1027927559276602,0.2337197742384222,0.0268988410601029,0.1138553627992333,0.0268988410601029,0.1138553627992333,0.175826643109294,0.0647155319981829,0.0658252734488618,0.1609410704322301
24,1,0.0561546883379161,0.1246478390228476,0.0863530169997718,0.1553769192283024,0.0279838096160112,0.087525017191721,0.0286153295710206,0.0892837319855255,0.1245894000721496,0.0551449556277052,0.0658252734488618,0.0910091975803983
60,1,0.0742565112232546,0.0887843562595742,0.0885517524178876,0.0888753283519688,0.0603287825039605,0.0730947399507691,0.0690169355006605,0.0817828929474691,0.086913400868483,0.0535800675351497,0.0658252734488618,0.013927557808096
6,2,0.0236648281267543,0.10937911384104,0.1577067196170673,0.1584984514478477,0.1505811311029441,0.2082734387952518,0.0988535880883643,0.156545895780672,0.1733008599313192,0.0066341932646526,0.0658252734488618,0.2307633855311404
12,2,0.2217740039438445,0.3499791321489727,0.2165183810702858,0.345388731592447,0.2244256354974335,0.279054616975619,0.2162643651791518,0.2737356295469679,0.3529429129183419,0.214054024029453,0.0658252734488618,0.0961699321908877
24,2,0.0945573886769735,0.163050539361905,0.1458445507306676,0.1524187410964156,0.117929053319392,0.1380116896201278,0.1042538038052474,0.1246619670705535,0.1630503472261673,0.0936059027817228,0.0658252734488618,0.0017574536022067
60,2,0.095111286690721,0.1228890644684987,0.095111286690721,0.1228890644684987,0.0951112866907212,0.122889064468499,0.0951112866907212,0.122889064468499,0.122889064468499,0.0951112866907212,0.0658252734488618,0.0097188395651306
6,3,0.5750757553762225,0.7417424220428891,0.4563029704231276,0.6836221527153903,0.5641681434867889,0.6410912204098659,0.3999087336627422,0.4853797884722567,0.7086048612313037,0.4863826390090815,0.0658252734488618,0.2625368742187616
12,3,0.309202918743391,0.4443380538785261,0.3082426893445597,0.4475071698646589,0.2809402589607693,0.3873232376841736,0.2709018281883398,0.377284806911744,0.4427050452453778,0.3038161563564889,0.0658252734488618,0.1180641830990601
24,3,0.161496729708603,0.2299898803935345,0.1483883258301267,0.2275821942819102,0.156824210853872,0.203699754822978,0.155642586043185,0.2048354901341927,0.2299895901645368,0.1605451457200923,0.0658252734488618,0.0
60,3,0.0718715286686393,0.1041295931847683,0.0732508372080373,0.1096148974257819,0.0713427696103156,0.1046761029436489,0.0713427696103156,0.1046761029436489,0.1046761029436489,0.0713427696103156,0.0658252734488618,0.0981203120298098
6,4,0.0853316619842013,0.251998328650868,0.0572526336784742,0.3401757930257474,0.2672401633521604,0.332765664643104,0.1762510403193731,0.2464264789158643,0.2641604167868594,0.0419381945646372,0.0658252734488618,0.2694394181503903
12,4,0.0937483221018564,0.2127959411494755,0.0836555154971856,0.2733712574285991,0.1619352750400935,0.2178262127267919,0.1023521534334595,0.1574513226590363,0.2018086155298746,0.0629197266409857,0.0658252734488618,0.1114404879520879
24,4,0.066214508308526,0.1167195588135765,0.0661069477647472,0.1218762810379927,0.0239060432400025,0.0871971824805089,0.0239060432400025,0.0871971824805089,0.1105847159280515,0.041140271483607,0.0658252734488618,0.1059948120625917
60,4,0.1032130447299738,0.1474119397575981,0.1110461317277615,0.1348904363184866,0.1097178962486733,0.1277549441749754,0.1156570174135386,0.136077913180241,0.1472736945364894,0.1028292500920449,0.0658252734488618,0.0019868900305826
6,5,0.3390915517912998,0.5496178675807735,0.3674122299391798,0.5878084986370443,0.1682013125702416,0.3282013125702416,0.2685279898408025,0.4285279898408026,0.5500074738827847,0.3277852516605625,0.0658252734488618,0.0250764937197331
12,5,0.1722248936783867,0.3073600288135219,0.2221475967961063,0.3585059873005936,0.2155664470294898,0.2671128387820671,0.097322830673179,0.1510827490740144,0.3085435878119102,0.1696546989230213,0.0658252734488618,0.2007585950130213
