Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller,GT,N,HyLeak
6,0,0.2621042157253587,0.9178674261865196,0.2251178166173208,0.879106295388424,0.7222234606740708,0.8439808566614849,0.5436383102500689,0.6614361615929084,0.775824100703371,0.2819969402095439,0.3136074636760373,999945,0.3778329298445152
12,0,0.2818258577947429,0.6880578368101168,0.231780758589278,0.6330143704650553,0.5931931202068337,0.6212496305335053,0.5112004784069565,0.5393010651933549,0.5774268245821004,0.2893609809607012,0.3136074636760373,999945,0.2875961791236152
24,0,0.3015421255784539,0.5188614787357111,0.261541358011489,0.4797720215459332,0.44698921492064,0.4715672127386044,0.4163526479899312,0.4403666045456541,0.4617419371748994,0.3177090153641998,0.3136074636760373,999945,0.15421514412050608
60,0,0.4127288626221063,0.4138988320814251,0.3793227437388228,0.3793313038862521,0.3756773876588777,0.3836666164725686,0.3730377622933463,0.380785070244251,0.3806266272408543,0.298322100491883,0.3136074636760373,999945,0.1343396083207614
6,1,0.2364011207349136,0.7872341157722421,0.2238206452342334,0.7760763504891927,0.6905129801938296,0.8321944987615826,0.4754485281705621,0.6120340799260402,0.7447903045320912,0.1686586172892927,0.3136074636760373,999945,0.0
12,1,0.2948818436927801,0.6918452341959302,0.226290801701547,0.6227058378456777,0.6038638924810507,0.6586434271911368,0.4735444635416349,0.5292187123226683,0.5693923963706071,0.2813265527492079,0.3136074636760373,999945,0.10720025067718568
24,1,0.2944053003161579,0.5115592304760473,0.2545014806163643,0.473949618943259,0.4699251099820108,0.4748486331555979,0.4399293858686092,0.445618076177411,0.4540336347378515,0.2688484495526663,0.3136074636760373,999945,0.3665854419379694
60,1,0.3876128886678748,0.3902280735046896,0.3525896401305736,0.3523590262169703,0.3356864084594522,0.3606272226438887,0.3291480651477656,0.3537035377619969,0.3535497891084516,0.2794757150343775,0.3136074636760373,999945,0.0
6,2,0.2561008775641706,0.9913847692883196,0.1356837195784807,0.8642565357439643,0.6394761623982163,0.7799110861879583,0.5017671125859682,0.6395102913001319,0.7321431278166974,0.156011440573899,0.3136074636760373,999945,0.0
12,2,0.2617251731512501,0.6629643909810691,0.1952471379262417,0.5969851564075849,0.5735091562637982,0.6015768930933926,0.4769693940001797,0.5046632299569469,0.5343392338827382,0.246273390261339,0.3136074636760373,999945,0.04401130869002108
24,2,0.2725866464495325,0.4899592379115021,0.2485278166959836,0.4689520160180606,0.4137632656736226,0.4562447092248555,0.3933223917430481,0.4358146741912991,0.4437755045884985,0.2997425827777989,0.3136074636760373,999945,0.46383901360268553
60,2,0.4112158284311163,0.4059700325424165,0.3699865337990683,0.3698471358630513,0.3720154300005308,0.378532187299258,0.3650427805687035,0.3721276378621579,0.3721244815843167,0.2980504075102427,0.3136074636760373,999945,0.11809039143353085
6,3,0.2215917544284454,0.8303419633720303,0.1797254061364431,0.7878326732317326,0.6325743422742431,0.7714007844421646,0.4505415992923246,0.5883368068220693,0.6630813780006921,0.0869496907578937,0.3136074636760373,999945,0.00013552353010310884
12,3,0.2516942538020604,0.6591941228802912,0.1644474566604918,0.5724157299383387,0.5273942158950075,0.5570613262860625,0.446660712571948,0.4743793393324135,0.5032745404183832,0.2152086967969839,0.3136074636760373,999945,0.3234427285073558
24,3,0.2795769073704591,0.5004858979658481,0.2544942491628733,0.4701938286362843,0.4626910949085873,0.4688281349545687,0.4378439743738365,0.444111337054501,0.4530311740233168,0.2678459888381316,0.3136074636760373,999945,0.6233670698546616
60,3,0.4009952498562691,0.4078016476904705,0.3705756800619006,0.3702838478694277,0.3829998628128365,0.3830557457762228,0.3713831274953297,0.3715672372632057,0.3731446230549045,0.2990705489808304,0.3136074636760373,999945,0.0
6,4,0.2684978888442587,0.9409472134866208,0.2005146941599097,0.8652237382661613,0.6736076535821209,0.8357593802692688,0.5172547868234763,0.6747486784431457,0.7725069895127028,0.1140707755209332,0.3136074636760373,999945,0.1990888059651675
12,4,0.2685874039845995,0.6531218008847827,0.2004161989339562,0.5787586482967906,0.6110542293576112,0.6276177729296503,0.4808227145686335,0.4985051196549455,0.5377665400928411,0.1673961697224707,0.3136074636760373,999945,0.012980828750163959
24,4,0.2711906266835035,0.4862410482584114,0.2498871056964052,0.4662689068315687,0.4815507874757403,0.4826493184312566,0.4333670361163219,0.4361499377575214,0.4469675594981837,0.2617823743129985,0.3136074636760373,999945,0.024218026945028042
60,4,0.389621843160281,0.3885832516850411,0.3486722594132974,0.3489229024621052,0.3524765128777337,0.3592232789454624,0.3447790493346103,0.3518193254221746,0.3524683756756186,0.2783943016015445,0.3136074636760373,999945,0.0
6,5,0.3231608780067896,1.003348092389077,0.2104817995473238,0.8994497118762159,0.6998938596011958,0.841191862790218,0.5204896010231165,0.6584542940599517,0.8178677292738508,0.2417360420310523,0.3136074636760373,999945,0.3304351105753199
12,5,0.2638968879972289,0.6712105855369914,0.1828642186267526,0.5955892208082293,0.530992291741502,0.563857470604277,0.4683178013664953,0.5010539303535436,0.5379703719070532,0.2087522649111684,0.3136074636760373,999945,0.29566592530187785
24,5,0.2840269925720108,0.5027852521798422,0.2466598671066967,0.463686330503602,0.4600907356854209,0.465028400562315,0.4282809091632434,0.4337667934714461,0.4446234817151273,0.2800144282171849,0.3136074636760373,999945,0.26395311291476614
60,5,0.3942111377760126,0.3945493250968728,0.3608059108782019,0.3599312387921564,0.3622882399002162,0.3684990073479058,0.3577757254509969,0.3639900915227338,0.3645746232179974,0.2987310018188204,0.3136074636760373,999945,0.3781175763307644
6,6,0.2778621318929357,0.985513913135052,0.2145406854468325,0.9236113475248776,0.6823513601780159,0.8223704510696552,0.5462751164721608,0.6843543307223873,0.824789007653977,0.2486573204111786,0.3136074636760373,999945,0.03832941919895097
