Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller
14,0,44.295408725738525,45.395416498184204,32.70550870895386,46.57709836959839,25.031004667282104,16.744256019592285,25.927584648132324,25.2492938041687,0.001119375228881836,0.0018107891082763672
28,0,32.72991394996643,58.620004653930664,33.8920521736145,50.27737259864807,23.628565073013306,23.545024871826172,23.79038667678833,24.147111654281616,0.0029392242431640625,0.0029244422912597656
56,0,37.55868577957153,66.029860496521,60.73404622077942,51.804482221603394,27.404942750930786,27.37611699104309,27.34550666809082,27.503158569335938,0.003415822982788086,0.003436565399169922
140,0,22.945698738098145,27.1567120552063,15.591768741607666,27.5167338848114,7.2689368724823,4.269775629043579,7.087692975997925,7.25351881980896,0.003926753997802734,0.0039827823638916016
14,1,52.887381076812744,52.91058874130249,55.4517457485199,54.83777451515198,16.268887519836426,15.396796941757202,22.21577000617981,12.88908338546753,0.001935720443725586,0.0019969940185546875
28,1,48.916730642318726,49.84027695655823,50.74795055389404,50.56731653213501,14.102471351623535,23.732033252716064,14.049578189849854,23.479776620864868,0.0026874542236328125,0.0027282238006591797
56,1,62.72518610954285,56.7209997177124,44.44393038749695,63.25952935218811,27.72414255142212,15.603878021240234,27.200951099395752,27.07179307937622,0.0019142627716064453,0.0019447803497314453
140,1,45.02223086357117,44.57828140258789,45.49704885482788,45.02624154090881,9.958478689193726,8.004101753234863,9.794263362884521,9.201287508010864,0.003962039947509766,0.003979921340942383
14,2,72.29104924201965,86.71303963661194,89.89830923080444,55.382964849472046,25.031777143478394,24.24283194541931,25.49312424659729,24.629252195358276,0.0019979476928710938,0.002038717269897461
28,2,65.64090394973755,65.70505595207214,71.47800612449646,67.46434569358826,25.18265962600708,25.69102430343628,25.172446966171265,25.41590428352356,0.0028345584869384766,0.0028829574584960938
56,2,71.83426070213318,73.71450877189636,73.47632074356079,45.25841760635376,26.30555486679077,26.556739807128906,26.48520255088806,26.619770526885986,0.0035555362701416016,0.0037665367126464844
140,2,29.830263137817383,27.754700660705566,29.444074630737305,23.739609956741333,5.82532811164856,9.0639808177948,8.5727858543396,9.085275650024414,0.0038270950317382812,0.003901958465576172
14,3,69.04214811325073,68.47798418998718,71.48165011405945,70.60076117515564,24.390284776687622,24.64365267753601,24.661128282546997,19.364207983016968,0.002010822296142578,0.002050161361694336
28,3,38.904897689819336,33.74205827713013,52.91169452667236,33.40824246406555,12.45749807357788,18.108678817749023,13.061160326004028,12.693322658538818,0.0028076171875,0.0028421878814697266
56,3,74.43196725845337,44.157734632492065,68.16481852531433,63.76850771903992,25.10032629966736,18.566162824630737,28.06839609146118,16.29215145111084,0.0019292831420898438,0.0019371509552001953
140,3,28.457993268966675,28.334715604782104,28.545535802841187,28.587311267852783,8.548726320266724,8.558103561401367,8.772972583770752,8.542178392410278,0.0039441585540771484,0.0039958953857421875
14,4,20.96398162841797,28.186240673065186,23.01410460472107,30.167539358139038,13.993149995803833,25.058342695236206,22.991971492767334,17.305737257003784,0.0020813941955566406,0.0021162033081054688
28,4,56.65231370925903,55.91585922241211,59.56990694999695,58.4407594203949,23.65030789375305,24.096258640289307,24.611842155456543,24.253562927246094,0.002747058868408203,0.002767324447631836
56,4,67.05477356910706,67.37811183929443,67.57898426055908,68.34617495536804,29.08812141418457,28.88354730606079,30.277771949768066,29.150790214538574,0.0036859512329101562,0.0037190914154052734
140,4,13.988096475601196,13.75383973121643,14.34499979019165,13.967633247375488,3.497382640838623,6.247697114944458,3.663067579269409,5.7459328174591064,0.004116535186767578,0.0034301280975341797
14,5,49.736042499542236,28.822728395462036,51.76170015335083,37.23832988739014,21.97852373123169,21.78528642654419,22.450973987579346,22.165515899658203,0.0010895729064941406,0.0011467933654785156
28,5,53.22226929664612,50.66385269165039,53.16570258140564,54.400639295578,13.40733790397644,24.09423065185547,13.821217775344849,22.937891006469727,0.002692699432373047,0.002737760543823242
56,5,55.86525845527649,66.79863977432251,74.43533062934875,50.76481771469116,16.457491397857666,27.439637899398804,23.39230227470398,16.904207468032837,0.001968860626220703,0.0020346641540527344
140,5,27.71847701072693,27.680272579193115,27.693586826324463,27.45807147026062,9.200762271881104,9.181342840194702,9.351317644119263,9.253284215927124,0.003992795944213867,0.004050731658935547
14,6,96.41939926147461,95.85850119590759,91.81315875053406,96.93557286262512,22.383460760116577,22.76299500465393,22.419523000717163,22.669086456298828,0.0019881725311279297,0.0020117759704589844
28,6,40.22383689880371,49.74330425262451,34.54065990447998,44.27739667892456,21.828343868255615,12.629175424575806,22.253832817077637,21.2347092628479,0.0027260780334472656,0.0027780532836914062
56,6,70.61278581619263,70.89318490028381,72.10286569595337,47.12904620170593,26.157339811325073,26.867944955825806,15.74946928024292,27.181436777114868,0.0035257339477539062,0.0035753250122070312
140,6,26.182592630386353,14.985127210617065,26.620950937271118,25.256950855255127,3.8465514183044434,6.471654891967773,3.8801398277282715,6.518719911575317,0.0022487640380859375,0.002265453338623047
14,7,71.75546646118164,41.20166206359863,73.72509121894836,61.192145586013794,24.747050046920776,24.435237169265747,24.980106353759766,19.090704202651978,0.0011372566223144531,0.0011336803436279297
28,7,61.28292655944824,51.27741074562073,66.42560410499573,37.570040464401245,24.050503730773926,24.30435538291931,14.12508749961853,25.499144315719604,0.0028090476989746094,0.0028312206268310547
56,7,49.71450066566467,35.25507116317749,63.163551807403564,35.46380114555359,29.255523681640625,29.92377257347107,30.056063652038574,29.682188749313354,0.0019867420196533203,0.0019457340240478516
140,7,48.276015758514404,49.418962717056274,39.54881548881531,48.6897497177124,8.879388332366943,8.880744218826294,10.249903917312622,8.91924238204956,0.004036664962768555,0.004149198532104492
14,8,64.09346199035645,84.85946035385132,47.60374045372009,87.65996885299683,14.534579038619995,12.790670156478882,23.20527720451355,13.159053325653076,0.001966238021850586,0.0020241737365722656
28,8,24.44233536720276,43.41153573989868,25.138465404510498,31.303605794906616,19.30090093612671,12.484736680984497,22.010273933410645,12.786784172058105,0.0027353763580322266,0.0027799606323242188
56,8,74.59521579742432,68.36695790290833,63.75979804992676,76.74734020233154,16.20165228843689,28.29658555984497,17.270172595977783,20.340912580490112,0.003396272659301758,0.0034208297729492188
