Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller
10,0,3.1306686401367188,2.319464683532715,3.7987186908721924,2.3027725219726562,2.7056925296783447,1.9147331714630127,2.630993127822876,2.697277784347534,0.0004374980926513672,0.0003154277801513672
20,0,5.250985145568848,5.767980098724365,4.779029369354248,5.846355676651001,2.283093214035034,2.2703726291656494,2.3257663249969482,2.3241565227508545,0.00055694580078125,0.0005993843078613281
40,0,7.777464151382446,7.821677207946777,7.774728298187256,7.9545369148254395,4.095257759094238,3.1905412673950195,4.242227554321289,2.670269727706909,0.0006356239318847656,0.0006806850433349609
100,0,7.315810918807983,7.388258457183838,7.3517374992370605,7.357126951217651,4.112836599349976,4.748216152191162,3.9267735481262207,4.700937032699585,0.0007135868072509766,0.0007455348968505859
10,1,3.0531280040740967,3.015810251235962,3.1211795806884766,3.2050726413726807,2.834322690963745,2.62906813621521,2.7998251914978027,2.8823227882385254,0.0002849102020263672,0.0003066062927246094
20,1,6.507111072540283,9.424763202667236,6.4582061767578125,9.37144660949707,2.1823277473449707,1.9983165264129639,2.065626382827759,2.2508227825164795,0.0005605220794677734,0.0005977153778076172
40,1,11.004206895828247,10.058830976486206,10.133954286575317,10.969837188720703,2.8001623153686523,2.7932870388031006,2.8036539554595947,2.8131587505340576,0.0003669261932373047,0.00039005279541015625
100,1,8.899905681610107,8.962196826934814,8.480970621109009,6.787976264953613,3.456695318222046,2.961954355239868,3.5452795028686523,3.441279172897339,0.0007920265197753906,0.0008525848388671875
10,2,5.766295671463013,5.869152069091797,5.8720104694366455,5.732928037643433,2.324904680252075,2.4193763732910156,2.4455504417419434,2.4084081649780273,0.0005061626434326172,0.0005476474761962891
20,2,5.383911609649658,5.381470203399658,5.211097240447998,5.539320468902588,2.880772829055786,2.8897435665130615,2.90463924407959,2.873997688293457,0.0006403923034667969,0.0006706714630126953
