Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller,GT,N
6,0,0.44784445926387356,0.9113278891176329,0.32972852464301244,0.7766468709115302,0.4448032557664228,0.6572979158294576,0.42260807928827254,0.6355220759864566,0.6817619519400995,0.3854656556438032,0.1378472138609319,999999
12,0,0.28896639496929544,0.6090041627920254,0.26942457018570226,0.586370123160688,0.4737171149225245,0.527193539812682,0.44333117164728597,0.4897682831850485,0.5210438329343212,0.33585864774913604,0.1378472138609319,999999
24,0,0.25790458477903255,0.4255780894052902,0.20804378705758633,0.37321315638865754,0.3169887538047901,0.3501136626481405,0.284347994080264,0.3187143637392485,0.33912437718155397,0.22801326607044287,0.1378472138609319,999999
60,0,0.20350234914581933,0.20374089536633938,0.17964090956984016,0.17996722909413593,0.1602124728859609,0.17835034874291836,0.15868303233604672,0.17746014346719846,0.18142454306921918,0.12216528380995992,0.1378472138609319,999999
6,1,0.3478593645334146,0.6982257935621629,0.36667737864895017,0.7064798120329419,0.78364675674277,0.8958536868267539,0.4297401151733469,0.5479361735583876,0.6337050845160239,0.26333471414565357,0.1378472138609319,999999
12,1,0.19808860825111368,0.4880344873839567,0.15538590057293697,0.44015600378367215,0.3323024819442322,0.3819972021371522,0.291220283044666,0.3403776640204308,0.36694622441428315,0.18176103922909798,0.1378472138609319,999999
24,1,0.1922393473495414,0.3167282372039051,0.17044669380745767,0.28334072837971375,0.22209713450902158,0.2543018747934231,0.20669129807784675,0.23952159428299272,0.2486462942494332,0.1560537016568406,0.1378472138609319,999999
60,1,0.14965422015265445,0.19915143906776206,0.12776424054918425,0.1752446133744345,0.15881406571656703,0.17875178432371913,0.1541691999602854,0.17470920862680325,0.17786346661958907,0.12601161476773723,0.1378472138609319,999999
6,2,0.4858677885964739,0.9481581894200357,0.40538498836456033,0.8496551703480286,0.6797477227246314,0.8065158351503927,0.5459210406896982,0.6616071820079047,0.8310711214551394,0.46070075108476904,0.1378472138609319,999999
12,2,0.4016864737219957,0.6104780623915327,0.337968187697289,0.5503750196256445,0.46279260273980594,0.5071683363242785,0.41732857784521243,0.4670760277544221,0.5211169653992025,0.3359317802140173,0.1378472138609319,999999
24,2,0.2104045507910323,0.3365973286881968,0.1674272513292761,0.29384558836345226,0.2579064684346417,0.2758580076105004,0.23240903160860646,0.2500912783297221,0.2690767093257307,0.15796559821461958,0.1378472138609319,999999
60,2,0.19608305447626873,0.2323351220108137,0.19091518560971862,0.22443297945379606,0.16689621826771403,0.21874807011956587,0.16689621826771403,0.21874807011956587,0.21874807011956543,0.1668962182677136,0.1378472138609319,999999
6,3,0.22637763402746772,0.5455111786136637,0.2235711067357452,0.5477453165725663,0.6155037092405407,0.7350059840473293,0.4430334656303271,0.564678371188735,0.6483038718304752,0.27793350146010487,0.1378472138609319,999999
12,3,0.23918897693129645,0.5309885139447051,0.20701107696476956,0.4901033053618137,0.3071825708207303,0.3830199136283779,0.26537381380532454,0.34065840884071363,0.4301089409803671,0.24492375579518194,0.1378472138609319,999999
24,3,0.19984439850432797,0.3264562977050197,0.17758477198631475,0.297992274300866,0.22436893481595088,0.264705432193885,0.20800202849704047,0.24985975737706081,0.27230300997412993,0.16119189886301882,0.1378472138609319,999999
60,3,0.1441361675948835,0.18615287011352585,0.1405854285253133,0.18092260743674154,0.1625540930753899,0.18293407837457362,0.15119469861230644,0.17231741171093315,0.17358631845069716,0.1143270591914379,0.1378472138609319,999999
6,4,0.09283093831099372,0.5673780313533545,0.06873240189519053,0.5363834063802665,0.44201959318429895,0.549480992118215,0.19081360085379848,0.2955451941177891,0.5336748101680824,0.08923036572363796,0.1378472138609319,999999
12,4,0.14724030841495897,0.3706049110041987,0.14007194718188737,0.3720518200180141,0.47302294419288704,0.5107049851347659,0.2790256860437192,0.3070708418844237,0.4077377363112724,0.14847847705201317,0.1378472138609319,999999
24,4,0.15241001033665394,0.3107076995488338,0.10224607649254189,0.2622529085368583,0.15930841061182224,0.23793572731607238,0.15560676692676984,0.2334814992136718,0.24376453903290285,0.11413490940327323,0.1378472138609319,999999
60,4,0.12555136894970473,0.1532242770218514,0.12498612552872004,0.15221734747393328,0.15026803978067138,0.17068960847622716,0.14285210343343885,0.1645325114213366,0.16157646806248538,0.10231720880322612,0.1378472138609319,999999
6,5,0.3833410877527101,0.8677213078167935,0.32511467910088837,0.8107270762634011,0.5947960281265463,0.6889136751853698,0.4968970865238563,0.5910780309273514,0.7100530100204798,0.41375671372418354,0.1378472138609319,999999
12,5,0.26159645333974707,0.5382152135999031,0.2072555740090226,0.4990615069969753,0.409977237299065,0.4524418538441681,0.37556566537766306,0.4214200517544107,0.4478823950403177,0.2626972098551325,0.1378472138609319,999999
24,5,0.14379720154206604,0.3100699484108063,0.09139196971825322,0.24811204412100954,0.163968300550641,0.19639458483560135,0.14786349385111264,0.18062428451859816,0.20899575596356135,0.11640316337096876,0.1378472138609319,999999
60,5,0.14260498405524843,0.21023239197538282,0.1256796476601554,0.19435390803021046,0.14686311054931886,0.18990676552417732,0.1433033155397349,0.18681622771397594,0.1897381719791853,0.13047891271992604,0.1378472138609319,999999
6,6,0.31539737146511765,0.6969391726203439,0.27940565977159343,0.6661455993535815,0.4551373314178656,0.5517829987184052,0.33456086373744964,0.43363133504968765,0.5562582089746755,0.2599619126783792,0.1378472138609319,999999
12,6,0.15465323645109094,0.47203025846664903,0.14580469092390655,0.4753805775122836,0.36670170257199036,0.43482716190769594,0.25564819378553216,0.3293005940021351,0.35649111845652426,0.17130593327133908,0.1378472138609319,999999
24,6,0.29497627401923876,0.39414679550356835,0.2850686183228221,0.38317748129420975,0.38136072674485544,0.3848646563168154,0.3400662071029802,0.3429534752222757,0.35528086894814637,0.24416975783703526,0.1378472138609319,999999
60,6,0.25435661235401735,0.25579726659511753,0.2196757479699297,0.21911694136281856,0.21949160866200726,0.2375391571629454,0.20907378955832898,0.22696085184882112,0.23027950832376076,0.17842765647190892,0.1378472138609319,999999
6,7,0.3107523689939077,0.8302273217348002,0.24760741943218065,0.7708838866916773,0.6030907132251099,0.7491412115321125,0.4688065018896503,0.6197471697289118,0.7078846370334881,0.2634401925890437,0.1378472138609319,999999
12,7,0.2584450516220512,0.5684397496334097,0.25044258018004445,0.5651708535360955,0.4173247441280389,0.47733841665468496,0.41921550048999856,0.4773336076598511,0.5023696700978832,0.28014744787566104,0.1378472138609319,999999
24,7,0.2512069337093693,0.42325499782768217,0.20988671381807605,0.379380219768186,0.28494099947713786,0.3543031622938679,0.28028941621985715,0.3470557840951423,0.367695994826422,0.21954784667827387,0.1378472138609319,999999
60,7,0.2284780239041377,0.236352730207862,0.21998294256425335,0.22861577830777582,0.19753779224024387,0.22241542454839217,0.1931404533319297,0.21735124030970668,0.2240923252365814,0.16483306597732214,0.1378472138609319,999999
6,8,0.29948095100195393,0.6414618483784391,0.28002989637543607,0.6260339652794423,0.3646311064826363,0.47967229085930957,0.3342837299943825,0.43311868200981024,0.47461125088807066,0.17831495459177438,0.1378472138609319,999999
12,8,0.24795775135186876,0.4773448781686686,0.17063079723267427,0.4098026370648447,0.2922170925801185,0.36774194283692996,0.2549468800672109,0.33055336567306065,0.35425294600465396,0.16906776081946878,0.1378472138609319,999999
24,8,0.17399229032333025,0.302195457472601,0.17299787779438472,0.3055715673313711,0.31238133073444085,0.31597193890185576,0.2567270138463101,0.26034777601944215,0.26435348600504094,0.15324237489392983,0.1378472138609319,999999
60,8,0.16179584837179342,0.19941016740965167,0.16313125750309052,0.20080677264126606,0.18238155153419477,0.2015067751417689,0.1705088329813588,0.18886985462857211,0.19393105102744856,0.14207919917559672,0.1378472138609319,999999
6,9,0.28637680990829906,0.8152110812411036,0.1545900105434099,0.6562598803232387,0.5836575607679299,0.697733493795586,0.34550618684162443,0.44859662261534833,0.6745282092863549,0.2300837648419105,0.1378472138609319,999999
12,9,0.14634142473219172,0.4722918225328971,0.12079711813649895,0.43200638052707685,0.37694873361015785,0.42858716010294035,0.2412035166324773,0.2972542984153298,0.36575399017019183,0.14353176794796962,0.1378472138609319,999999
24,9,0.1732505337675906,0.2832006438413385,0.17033513725143307,0.28180293723560995,0.24084965626730612,0.2844383665419164,0.18790214230338337,0.2323246939445041,0.2573894183685388,0.1462783072574277,0.1378472138609319,999999
60,9,0.1187616992003955,0.18608708466181145,0.10548207494405541,0.17296468957473177,0.11388509586116434,0.15483051067507686,0.11386493100716732,0.15476929201454698,0.15760620764936695,0.1131617632049225,0.1378472138609319,999999
6,10,0.2751463692968034,0.6056306554467709,0.2750162632797763,0.5990650575483578,0.6270891573654255,0.7244938212350885,0.4077082577583095,0.5084642376762846,0.7517240712328919,0.30727962678844745,0.1378472138609319,999999
