Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller,GT,HyLeak
12,0,1.7640196515418074,2.720117618886026,1.7097169906973442,2.606483846700561,2.5305734802618547,2.6222988359298185,2.548183645517676,2.641924030299541,2.7200849077811853,1.7636682411145186,2.5230596327329726,2.51979002074
24,0,2.187259082786976,2.6184658756934978,2.6228371767533103,2.622819352298028,2.464775056388204,2.6001481019388413,2.4662622677593173,2.601656901750504,2.614561682785893,2.1363533494525595,2.5230596327329726,2.52085905784
48,0,2.3505380195803696,2.569130888695104,2.350198205798569,2.568691354322641,2.329560004440702,2.568664171107368,2.329560004440702,2.568664171107368,2.5686641711073683,2.329560004440702,2.5230596327329726,2.52139357634
120,0,2.4454824879896004,2.541124154656268,2.4454824879896004,2.541124154656268,2.4454824879896004,2.541124154656268,2.4454824879896004,2.541124154656268,2.541124154656268,2.4454824879896004,2.5230596327329726,2.52171428744
12,1,1.7623448250005729,2.718602115452164,1.710423276151579,2.6060842719374384,2.526292112991405,2.6198130460523354,2.5461111988672984,2.639780595601107,2.718581925905177,1.7621652592385102,2.5230596327329726,2.51979002074
24,1,2.195424260378564,2.6221737212248497,2.6259958288463547,2.626038948843721,2.47161720111521,2.607626125992499,2.472707992553201,2.608672938682246,2.617930562285478,2.1397222289521447,2.5230596327329726,2.52085905784
48,1,2.354764801043,2.56660355478068,2.3538101349863894,2.5655119648448985,2.326887866523184,2.5659920331898505,2.326887866523184,2.5659920331898505,2.5659920331898505,2.326887866523184,2.5230596327329726,2.52139357634
120,1,2.4451308538263,2.5407725204929665,2.4451308538263,2.5407725204929665,2.445130853826299,2.5407725204929656,2.445130853826299,2.5407725204929656,2.5407725204929665,2.4451308538263,2.5230596327329726,2.52171428744
12,2,1.7695053197839556,2.725762610235547,1.7232311575546797,2.6205045901975383,2.535810357011658,2.629414903933175,2.5576534640242223,2.651169845474683,2.7257456368914745,1.7693289702248078,2.5230596327329726,2.51979002074
24,2,2.194023095661363,2.6215355742429023,2.625902075629769,2.625902464448804,2.470705310996148,2.6067852464400976,2.471870303809173,2.607843182029697,2.617172066284025,2.138963732950692,2.5230596327329726,2.52085905784
48,2,2.3472429609267897,2.568832334213271,2.346977226088088,2.568499240877921,2.329349082060225,2.5684532487268914,2.329349082060225,2.5684532487268914,2.568453248726894,2.329349082060228,2.5230596327329726,2.52139357634
120,2,2.4458421016902423,2.541483768356909,2.4458421016902423,2.541483768356909,2.4458421016902423,2.541483768356909,2.4458421016902423,2.541483768356909,2.541483768356909,2.4458421016902423,2.5230596327329726,2.52171428744
12,3,1.7786755422761706,2.734932832727762,1.741294797495182,2.6419536665035035,2.263579376050158,2.6429740160219035,2.27983940366476,2.659758893972453,2.7349325878971795,1.7785159212305128,2.5230596327329726,2.51979002074
24,3,2.157840538566603,2.622646953599812,2.6253809360698264,2.62533179954179,2.475720782526056,2.611046137511435,2.477560604637881,2.6129613847887136,2.620709987243252,2.142501653909919,2.5230596327329726,2.52085905784
48,3,2.358496540121,2.570805541563894,2.357618398133609,2.569806640014837,2.331075497657265,2.5701796643239314,2.331075497657265,2.5701796643239314,2.5701796643239314,2.331075497657265,2.5230596327329726,2.52139357634
120,3,2.446118694130248,2.541760360796914,2.446118694130248,2.541760360796914,2.446118694130248,2.541760360796914,2.446118694130248,2.541760360796914,2.541760360796914,2.446118694130248,2.5230596327329726,2.52171428744
12,4,1.7776382301517069,2.7335769274697146,1.7273217204056386,2.622982716191498,2.531424376298298,2.6251422453284463,2.551012536873565,2.644912505434473,2.73351916883518,1.7771025021685132,2.5230596327329726,2.51979002074
24,4,2.1554491774526943,2.620180308000151,2.624799196375889,2.6248380384322485,2.4724782408997616,2.6078604167352144,2.473508836895144,2.608897485478083,2.618452626493497,2.140244293160164,2.5230596327329726,2.52085905784
48,4,2.3557718144351893,2.5701909752168657,2.355274165748698,2.5695766665326216,2.330446950497225,2.569551117163892,2.330446950497225,2.569551117163892,2.569551117163892,2.330446950497225,2.5230596327329726,2.52139357634
120,4,2.4455851006975258,2.5412267673641926,2.4455851006975258,2.5412267673641926,2.445585100697525,2.541226767364192,2.445585100697525,2.541226767364192,2.5412267673641926,2.4455851006975258,2.5230596327329726,2.52171428744
12,5,1.7773895752322746,2.7334875425764933,1.7335307251399092,2.631816710833441,2.543708190390944,2.6380948713087577,2.559329930352966,2.65258764075118,2.733438302587655,1.7770216359209885,2.5230596327329726,2.51979002074
24,5,2.184740378857423,2.61601198565135,2.621183916772352,2.6211781019337868,2.464874650338144,2.6002562254186565,2.466522687871093,2.601833681221714,2.611898741942789,2.133690408609456,2.5230596327329726,2.52085905784
48,5,2.3510079487852105,2.565547353600524,2.375262960873489,2.564997185863648,2.3258669637426426,2.564971130409309,2.3258669637426426,2.564971130409309,2.564971130409309,2.3258669637426426,2.5230596327329726,2.52139357634
120,5,2.4453841444087723,2.5410258110754387,2.4453841444087723,2.5410258110754387,2.4453841444087723,2.5410258110754387,2.4453841444087723,2.5410258110754387,2.541025811075439,2.4453841444087723,2.5230596327329726,2.52171428744
12,6,1.7738080757014263,2.729746773019434,1.7400570504261392,2.641915818246587,2.3938195360247536,2.639412051855925,2.4094197757248,2.6548241581700247,2.7296878615332725,1.7732711948666058,2.5230596327329726,2.51979002074
24,6,2.196931772099795,2.623015823183846,2.603398220538233,2.6187232130277383,2.47139830478486,2.6074594915180938,2.472760592218467,2.608743320982619,2.618648119268416,2.1404397859350826,2.5230596327329726,2.52085905784
48,6,2.3598176855858943,2.569251992155237,2.358824877385546,2.5681242965757125,2.35618535025493,2.5681270472999027,2.356179525743633,2.568117520000456,2.568485759488764,2.329381592822098,2.5230596327329726,2.52139357634
120,6,2.44578038657834,2.5414220532450065,2.44578038657834,2.5414220532450065,2.44578038657834,2.5414220532450065,2.44578038657834,2.5414220532450065,2.5414220532450065,2.44578038657834,2.5230596327329726,2.52171428744
12,7,1.7828245381292698,2.7389225054734885,1.7168481177682444,2.6111133507431545,2.397821290107802,2.6431510389177624,2.417296663078523,2.662415139979538,2.7388684098559546,1.782451743189288,2.5230596327329726,2.51979002074
24,7,2.161289264556173,2.624968967206464,2.628199477851654,2.6282087477988254,2.4735021731779825,2.608877275329492,2.4746960909397133,2.6099689580183063,2.62302123559565,2.144812902262317,2.5230596327329726,2.52085905784
48,7,2.348870689775606,2.5689473915972743,2.3593375337139126,2.568624408428589,2.329398916564627,2.5685030832312936,2.329398916564627,2.5685030832312936,2.5685030832312936,2.329398916564627,2.5230596327329726,2.52139357634
120,7,2.44600016814265,2.541641834809317,2.44600016814265,2.541641834809317,2.44600016814265,2.541641834809317,2.44600016814265,2.541641834809317,2.541641834809317,2.44600016814265,2.5230596327329726,2.52171428744
12,8,1.771962973681059,2.7282202641326503,1.7377843891463507,2.63876258584526,2.5404364510101587,2.635174195807333,2.55648049665962,2.650384487869562,2.7282164204539265,1.7717997537872598,2.5230596327329726,2.51979002074
24,8,2.158229282549884,2.623903225583236,2.627953875263777,2.627980786215524,2.4735543972194547,2.608804928080965,2.475087237047352,2.6105019158045883,2.6222204834193388,2.144012150086005,2.5230596327329726,2.52085905784
48,8,2.351313068037037,2.5713897698587056,2.351104252824024,2.57110004095357,2.525647718292923,2.5707048723019623,2.5258153273476425,2.570884164578081,2.570924351155039,2.3318201844883726,2.5230596327329726,2.52139357634
120,8,2.445141864145079,2.540783530811746,2.445141864145079,2.540783530811746,2.445141864145078,2.540783530811745,2.445141864145078,2.540783530811745,2.540783530811745,2.445141864145078,2.5230596327329726,2.52171428744
12,9,1.777286008175681,2.7335432986272723,1.7254845884346082,2.622758043680692,2.5454495496508023,2.638869718544026,2.5631118521962843,2.6570394490924643,2.7335252474426435,1.7771085807759768,2.5230596327329726,2.51979002074
24,9,2.159424840278268,2.624645756370688,2.628343558149995,2.6283244772361,2.476757455582991,2.6120741557494305,2.477458500551616,2.612925625381864,2.6229140426018525,2.144705709268519,2.5230596327329726,2.52085905784
48,9,2.3545011625935675,2.569297539296666,2.379014712015222,2.568752667009475,2.329611084094645,2.568715250761311,2.329611084094645,2.568715250761311,2.568715250761312,2.329611084094645,2.5230596327329726,2.52139357634
120,9,2.4449972496619883,2.540638916328655,2.4449972496619883,2.540638916328655,2.4449972496619767,2.540638916328644,2.4449972496619767,2.540638916328644,2.5406389163286542,2.4449972496619874,2.5230596327329726,2.52171428744
12,10,1.7731905221219568,2.7291292194399643,1.7138813356328,2.607161883629684,2.377305186933288,2.622979712163453,2.395978957388948,2.6422778112832126,2.7290749205885216,1.772658253921855,2.5230596327329726,2.51979002074
24,10,2.151888765679301,2.618737122334035,2.625098106950025,2.6251210837250527,2.4685312109164337,2.604249300628924,2.4708320932264973,2.606234303981024,2.61717186986188,2.138963536528546,2.5230596327329726,2.52085905784
48,10,2.353878851132525,2.5716091592217643,2.35374198289957,2.5713622199875275,2.3319620730968875,2.571066239763554,2.3319620730968875,2.571066239763554,2.571066239763555,2.3319620730968884,2.5230596327329726,2.52139357634
