Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller,GT,HyLeak
5,0,0.3969723608188608,0.9496039397662293,0.3627232690656173,0.9038516374411004,0.7247207305963421,0.8312037369560967,0.6117509127628759,0.7167859308622746,0.976847592392627,0.376847592392627,0.44327825447413,0.3689295725190259
10,0,0.4240289665956611,0.7203252628919574,0.3601649735486475,0.6510918280819928,0.5732567223672629,0.6829357672421016,0.570849908386084,0.6778675112785433,0.7425235163020822,0.3996663734449394,0.44327825447413,0.3713770604376534
20,0,0.43291652348832,0.5950786856504823,0.4328786282153263,0.5306600664856548,0.5354595743623055,0.5947961941956612,0.5136614237589234,0.5713246530295427,0.5999607523066395,0.428532180878068,0.44327825447413,0.3631580588680919
50,0,0.4795360190870205,0.5564590960100975,0.4894921895222618,0.5290083974883655,0.4729059018740831,0.547418569319655,0.4708326989532143,0.5449436959532624,0.5564594538621326,0.4793165967192754,0.44327825447413,0.3483688029266882
5,1,0.2881111247523188,0.5381111247523189,0.2778219644031222,0.6378811516085932,0.4003488131013484,0.4950856552066116,0.3986091705496182,0.4933460126548814,0.5380475824562594,0.2809047253134022,0.44327825447413,0.3845080288607964
10,1,0.3501227016001381,0.583888935366372,0.3293896873423099,0.4220964060635296,0.5500419464767263,0.6298340779180418,0.4982555489849202,0.5693675500261633,0.5887457970510415,0.3316029399081843,0.44327825447413,0.3794686862021483
20,1,0.3927700064406145,0.5704015853879828,0.3722807148685201,0.4951377983966903,0.5454740398377963,0.5900480490330984,0.5212475105230776,0.5590828621541316,0.5733001789512171,0.3804430360940742,0.44327825447413,0.3918615235384339
50,1,0.3988174258438214,0.4757405027668984,0.3894575259236941,0.454914387455157,0.3970410768166469,0.4598288336778113,0.3982460436762838,0.4615304776617499,0.4757433947932856,0.3986005376504285,0.44327825447413,0.3650792281665891
5,2,0.2597309631476516,0.5275881060047944,0.116100581206033,0.2874718219943022,0.4242898665715537,0.5471686123109636,0.4637170116426745,0.5911717881931966,0.6667925066706326,0.238221078099204,0.44327825447413,0.3804160681904417
10,2,0.2485445155774314,0.4568778489107648,0.3317196067306698,0.4978689175155651,0.4433132575416136,0.5030172282411031,0.383522036248291,0.4407402705917408,0.4597282078079661,0.2454424935222518,0.44327825447413,0.382615729578039
