Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller,HyLeak
6,0,5.654403448104858,5.643890619277954,5.329456567764282,5.782834053039551,3.081136465072632,1.98682165145874,2.1394152641296387,3.075989961624145,0.0004885196685791,0.0004107952117919,0.107
12,0,9.723787546157835,5.421793460845947,9.524809837341309,6.931701898574829,4.053532838821411,4.040465831756592,3.724385976791382,4.141450166702271,0.000472068786621,0.0004739761352539,0.126
24,0,10.829041242599487,9.116348505020142,10.761654615402222,10.76863431930542,4.057701587677002,3.881302118301392,4.022889614105225,3.932329416275024,0.0005164146423339,0.0005474090576171,0.109
60,0,12.977989673614502,10.010839700698853,16.836955308914185,10.144932270050049,2.8983471393585205,2.758005380630493,2.777340650558472,2.86242938041687,0.0010678768157958,0.0011043548583984,0.116
6,1,8.529337644577026,8.522276163101196,8.670958042144775,8.56905746459961,2.7527050971984863,2.7132773399353027,2.7064716815948486,2.8143551349639893,0.0007102489471435,0.0007269382476806,0.114
12,1,5.531407117843628,9.293143033981323,6.528477191925049,5.612494230270386,2.537426471710205,1.4356143474578855,2.5099644660949707,1.6381947994232178,0.0008008480072021,0.0008416175842285,0.14400000000000002
24,1,15.854657649993896,15.363898992538452,16.402525186538696,15.475988864898682,3.917105436325073,3.9811840057373047,3.840275287628174,3.9280521869659424,0.0008940696716308,0.0009429454803466,0.115
60,1,14.81413435935974,18.23544430732727,18.39586281776428,17.904687881469727,1.90107536315918,2.6420791149139404,2.826685667037964,1.871051788330078,0.0010530948638916,0.0010855197906494,0.122
6,2,11.61385464668274,11.194016218185425,11.878581523895264,11.079522132873535,2.497633457183838,2.5452260971069336,2.5762221813201904,2.5777978897094727,0.0007269382476806,0.0007822513580322,0.10300000000000001
12,2,12.882999897003174,12.836129188537598,12.830107688903809,12.772050619125366,4.395655393600464,4.397277593612671,4.380118131637573,4.360339641571045,0.0008361339569091,0.0008754730224609,0.129
24,2,9.276992797851562,10.604352474212646,12.838922500610352,6.876100540161133,3.0800626277923584,4.492697954177856,4.5719850063323975,2.762292623519897,0.0009205341339111,0.0009641647338867,0.10400000000000001
60,2,16.97171401977539,17.23619842529297,17.397122859954834,17.10582208633423,2.064471483230591,2.1066291332244877,2.105499744415283,2.1160683631896973,0.0010120868682861,0.001042366027832,0.122
6,3,10.276973485946655,10.496901750564575,8.816212892532349,10.842653274536133,2.4132866859436035,4.390108585357666,2.879512310028076,3.938952445983887,0.0007240772247314,0.0007646083831787,0.14300000000000002
12,3,7.4160239696502686,7.070678234100342,7.787580490112305,4.485757827758789,3.649435043334961,3.629199504852295,2.253815174102783,3.669800281524658,0.0008554458618164,0.0009610652923583,0.125
24,3,18.93255877494812,10.4883131980896,18.956258058547974,15.936559200286863,3.780616044998169,3.982164859771729,4.014769792556763,3.8612234592437744,0.000514268875122,0.0005385875701904,0.129
60,3,14.463662147521973,15.129733085632324,10.408099889755247,14.72950792312622,1.8858766555786133,1.918121099472046,1.9302349090576167,1.9044394493103027,0.0010409355163574,0.0010921955108642,0.129
6,4,11.290319204330444,11.616307020187378,11.750712394714355,11.457759141921995,4.508517742156982,4.637140989303589,4.024231195449829,4.522497177124023,0.0007526874542236,0.0007915496826171,0.096
12,4,9.276041269302368,6.122529983520508,6.523516416549683,8.466325759887695,3.150187730789185,3.159641742706299,3.2282819747924805,3.241820335388184,0.000568151473999,0.0005133152008056,0.132
24,4,8.92617654800415,15.199708700180054,10.66112470626831,14.78696584701538,3.527197360992432,2.152893543243408,3.528552770614624,2.7096855640411377,0.0009284019470214,0.0009691715240478,0.127
60,4,13.500894784927368,13.467887878417969,13.594625234603882,13.57672667503357,3.041167020797729,3.0333192348480225,3.1332895755767822,3.0121512413024902,0.0010244846343994,0.0009346008300781,0.135
6,5,11.200914144515991,11.40646505355835,11.206204175949097,11.307534217834473,4.052926540374756,4.044758319854736,4.124283313751221,4.137547016143799,0.000756025314331,0.0008080005645751,0.122
12,5,13.619139432907104,13.624720096588137,11.156405210494995,13.8715238571167,3.208742380142212,3.25027847290039,3.250937461853028,3.41267728805542,0.0008237361907958,0.0008711814880371,0.107
24,5,14.371395826339722,13.463006258010864,14.762529611587524,14.303130149841309,4.864716053009033,4.760128736495972,4.3257811069488525,4.853291988372803,0.000533103942871,0.0005567073822021,0.11800000000000001
