Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller,GT,N
12,0,1.695165632248129,2.593162871437997,1.7104801143444415,2.6071393102623373,2.5303769480445952,2.622427647857314,2.5484090789593705,2.6423543257075672,2.7200849077811853,1.7636682411145186,2.5230596327329726,1000000
24,0,2.61682759799821,2.6157977591899555,2.620637947969991,2.6206256907393954,2.464636679332905,2.5999131385502374,2.466187456290199,2.601600579635909,2.614561682785893,2.1363533494525595,2.5230596327329726,1000000
48,0,2.3314665696202588,2.5679245686392296,2.3320001644531967,2.5683730841481074,2.329560004440702,2.568664171107368,2.329560004440702,2.568664171107368,2.5686641711073683,2.329560004440702,2.5230596327329726,1000000
120,0,2.4454824879896004,2.5411241546562673,2.4454824879896004,2.5411241546562673,2.4454824879896004,2.5411241546562673,2.4454824879896004,2.5411241546562673,2.5411241546562673,2.4454824879896004,2.5230596327329726,1000000
12,1,1.6954148989427267,2.590547723288763,1.7112813609283393,2.6062882601546127,2.5265300540902396,2.620420143861293,2.5462485052746695,2.640036112992542,2.718581925905177,1.7621652592385102,2.5230596327329726,1000000
24,1,2.6191317248456083,2.6213226401286316,2.622152122881163,2.6221910863234466,2.4717461939634044,2.607702712115296,2.4726826008729565,2.6087842837561768,2.617930562285478,2.1397222289521447,2.5230596327329726,1000000
48,1,2.328657321135459,2.564641244111036,2.3291874167923625,2.56510946118258,2.326887866523184,2.5659920331898505,2.326887866523184,2.5659920331898505,2.5659920331898505,2.326887866523184,2.5230596327329726,1000000
120,1,2.4451308538262997,2.5407725204929665,2.4451308538262997,2.5407725204929665,2.445130853826299,2.5407725204929656,2.445130853826299,2.5407725204929656,2.5407725204929665,2.4451308538262997,2.5230596327329726,1000000
12,2,1.708746991938514,2.6050091350628137,1.722734883672868,2.619610978335986,2.535819003856326,2.6297227085989556,2.5572218830229576,2.6508495682627884,2.7257456368914745,1.7693289702248078,2.5230596327329726,1000000
24,2,2.620556339478839,2.61969570424699,2.6226829740807287,2.6227571191171726,2.4708814552971243,2.6068167782814053,2.4718169284271934,2.6078231451136635,2.6171720662840254,2.138963732950692,2.5230596327329726,1000000
48,2,2.3456973225896665,2.567806047060134,2.346113270299593,2.5682654067863617,2.329349082060225,2.5684532487268914,2.329349082060225,2.5684532487268914,2.568453248726894,2.3293490820602276,2.5230596327329726,1000000
120,2,2.4458421016902423,2.541483768356909,2.4458421016902423,2.541483768356909,2.4458421016902423,2.541483768356909,2.4458421016902423,2.541483768356909,2.541483768356909,2.4458421016902423,2.5230596327329726,1000000
12,3,1.7248026393464386,2.6258911451931364,1.7408674837204,2.641900650326486,2.262591999282668,2.6439492808928344,2.27976422753994,2.660354692271741,2.7349325878971795,1.7785159212305128,2.5230596327329726,1000000
24,3,2.6213768421485586,2.6220966267004755,2.6245007977510344,2.624605515727902,2.475729322361531,2.6113169059740597,2.477626575557527,2.6129362945889785,2.620709987243252,2.142501653909919,2.5230596327329726,1000000
48,3,2.3328695272693705,2.568689289621703,2.3334661172751274,2.569375715453924,2.331075497657265,2.5701796643239314,2.331075497657265,2.5701796643239314,2.5701796643239314,2.331075497657265,2.5230596327329726,1000000
120,3,2.4461186941302473,2.541760360796914,2.4461186941302473,2.541760360796914,2.4461186941302473,2.541760360796914,2.4461186941302473,2.541760360796914,2.541760360796914,2.4461186941302473,2.5230596327329726,1000000
12,4,1.7104867121684784,2.606419168334391,1.7275279686739302,2.6237368291535077,2.5324751011147546,2.6254771316078998,2.5511119072372126,2.6443883148379275,2.73351916883518,1.7771025021685132,2.5230596327329726,1000000
24,4,2.6191294687961966,2.6187064837786136,2.6235273562933097,2.6235193947694984,2.472346655216484,2.6076500428926583,2.4736314706122613,2.608847989673834,2.6184526264934975,2.140244293160164,2.5230596327329726,1000000
48,4,2.354673888189119,2.5687662400507674,2.3552972471412774,2.5696089512728113,2.330446950497225,2.5695511171638916,2.330446950497225,2.5695511171638916,2.5695511171638916,2.330446950497225,2.5230596327329726,1000000
120,4,2.4455851006975258,2.5412267673641926,2.4455851006975258,2.5412267673641926,2.445585100697525,2.5412267673641917,2.445585100697525,2.5412267673641917,2.5412267673641926,2.4455851006975258,2.5230596327329726,1000000
12,5,1.7184050210301693,2.616645013296758,1.7336435630362197,2.6325904947281327,2.544446321291526,2.6378784565648163,2.5587712640109674,2.6525021347795623,2.733438302587655,1.7770216359209883,2.5230596327329726,1000000
24,5,2.61226720747796,2.6122223984073347,2.616379575243881,2.616427071910359,2.4650373781288737,2.6003894050114753,2.466484179763008,2.601829764332704,2.611898741942789,2.1336904086094557,2.5230596327329726,1000000
48,5,2.327780610573004,2.5638686929363974,2.3283010010718486,2.564373859084184,2.3258669637426426,2.564971130409309,2.3258669637426426,2.564971130409309,2.564971130409309,2.3258669637426426,2.5230596327329726,1000000
120,5,2.4453841444087723,2.5410258110754387,2.4453841444087723,2.5410258110754387,2.4453841444087723,2.5410258110754387,2.4453841444087723,2.5410258110754387,2.541025811075439,2.4453841444087723,2.5230596327329726,1000000
12,6,1.7247513763773623,2.625963344719652,1.7402419313176758,2.642216747597288,2.3944010023067706,2.6395884196799955,2.409925014563439,2.655036571320864,2.7296878615332725,1.7732711948666058,2.5230596327329726,1000000
24,6,2.5922626275914253,2.607614504231106,2.5996687903238893,2.6149432033841817,2.471371804255603,2.607376963813923,2.472672218422443,2.608694387680766,2.618648119268416,2.1404397859350826,2.5230596327329726,1000000
48,6,2.358218464032796,2.5674965048863876,2.358830408370083,2.568112883997269,2.356188226462928,2.5681345688305575,2.3561935890259016,2.5681206048961744,2.5684857594887642,2.329381592822098,2.5230596327329726,1000000
120,6,2.4457803865783396,2.5414220532450065,2.4457803865783396,2.5414220532450065,2.4457803865783396,2.5414220532450065,2.4457803865783396,2.5414220532450065,2.5414220532450065,2.4457803865783396,2.5230596327329726,1000000
12,7,1.701092248501335,2.596926781000986,1.7165175690508556,2.610435062131418,2.3984872974458455,2.6437900345121665,2.4171991401741644,2.662721933840913,2.7388684098559546,1.782451743189288,2.5230596327329726,1000000
24,7,2.624189855706733,2.6254211209745577,2.628023450140645,2.62803157078622,2.4735101451861814,2.608820291634691,2.4745755257055837,2.6100361860697503,2.62302123559565,2.144812902262317,2.5230596327329726,1000000
48,7,2.3585083544491714,2.5679946403998763,2.3590580092285274,2.568334672988351,2.329398916564627,2.5685030832312936,2.329398916564627,2.5685030832312936,2.5685030832312936,2.329398916564627,2.5230596327329726,1000000
120,7,2.44600016814265,2.541641834809317,2.44600016814265,2.541641834809317,2.44600016814265,2.541641834809317,2.44600016814265,2.541641834809317,2.541641834809317,2.44600016814265,2.5230596327329726,1000000
12,8,1.7208482089539932,2.6207289883885356,1.7386114976717388,2.6385239400604563,2.5422730509452904,2.6349579044712943,2.55643904843257,2.6500458413162513,2.7282164204539265,1.7717997537872598,2.5230596327329726,1000000
24,8,2.6241448943438765,2.6227401284121856,2.6272791756786877,2.6272901431703586,2.4735596727291367,2.6088915935618715,2.475193570153147,2.6105342168400614,2.6222204834193388,2.1440121500860054,2.5230596327329726,1000000
48,8,2.334651430293535,2.570265724740477,2.335302823808443,2.570836616369877,2.525655021741107,2.5707127484608336,2.525812008240756,2.5708854598480415,2.570924351155039,2.3318201844883726,2.5230596327329726,1000000
120,8,2.445141864145079,2.540783530811746,2.445141864145079,2.540783530811746,2.445141864145078,2.540783530811745,2.445141864145078,2.540783530811745,2.540783530811745,2.445141864145078,2.5230596327329726,1000000
12,9,1.7118248679617765,2.609196306507179,1.7259085122663416,2.6232887224315364,2.544624036662954,2.639131071897963,2.563040313319269,2.65658104912388,2.7335252474426435,1.7771085807759768,2.5230596327329726,1000000
24,9,2.6226015040944426,2.62553999959201,2.627749532374973,2.627766541122557,2.4767863433731834,2.6121670992063333,2.4775803273334653,2.613076474410515,2.6229140426018525,2.144705709268519,2.5230596327329726,1000000
48,9,2.3315745647479202,2.567487882377551,2.332061381779563,2.5681235334143695,2.329611084094645,2.568715250761311,2.329611084094645,2.568715250761311,2.5687152507613114,2.329611084094645,2.5230596327329726,1000000
120,9,2.4449972496619883,2.540638916328655,2.4449972496619883,2.540638916328655,2.4449972496619767,2.5406389163286436,2.4449972496619767,2.5406389163286436,2.5406389163286542,2.4449972496619874,2.5230596327329726,1000000
12,10,1.6984706967785896,2.59257454041084,1.714244672377,2.6079841184948793,2.3788880366718406,2.6228301472232207,2.3964762440242366,2.6420507047968775,2.7290749205885216,1.772658253921855,2.5230596327329726,1000000
24,10,2.6206064501794817,2.6200090356941934,2.6246462825713275,2.624669458973958,2.4686872964075897,2.604229629232071,2.470827126511859,2.606128133589874,2.6171718698618793,2.138963536528546,2.5230596327329726,1000000
48,10,2.3340107394107004,2.5703077209418415,2.3348166884239103,2.5709876564440233,2.3319620730968875,2.571066239763554,2.3319620730968875,2.571066239763554,2.571066239763555,2.3319620730968884,2.5230596327329726,1000000
120,10,2.4465267965524897,2.5421684632191566,2.4465267965524897,2.5421684632191566,2.4465267965524897,2.5421684632191566,2.4465267965524897,2.5421684632191566,2.5421684632191566,2.4465267965524897,2.5230596327329726,1000000
12,11,1.7066053502016663,2.6047990412649322,1.721946865829167,2.6200990651288203,2.382694433169461,2.628179967288931,2.4031692464341123,2.648921396832966,2.723157092041835,1.7667404253751684,2.5230596327329726,1000000
24,11,2.618733822418996,2.6203897473390683,2.622267045904282,2.62226966595262,2.4705336194484104,2.6057172939320066,2.471161041609123,2.606560071222046,2.6166799268345313,2.138471593501198,2.5230596327329726,1000000
48,11,2.5101933584175145,2.569444861242847,2.5107581277875055,2.57017979677925,2.358167530595879,2.5699037869518304,2.358170562567308,2.5699025242504088,2.5700804970930875,2.330976330426421,2.5230596327329726,1000000
120,11,2.447289548684797,2.542931215351464,2.447289548684797,2.542931215351464,2.4472895486847954,2.5429312153514627,2.4472895486847954,2.5429312153514627,2.542931215351464,2.447289548684797,2.5230596327329726,1000000
12,12,1.724913477632524,2.623293629574245,1.7389395033758388,2.6369855195231318,2.5520452884940497,2.64440665367573,2.569320325159393,2.662183085319928,2.7400603498602756,1.7836436831936089,2.5230596327329726,1000000
24,12,2.625510931488736,2.6263512699239873,2.6270395256064805,2.627054654083849,2.477379431578766,2.6126693948374946,2.4782602185252127,2.6135324433620752,2.6229749496956467,2.1447666163623134,2.5230596327329726,1000000
48,12,2.3585825140306813,2.570947717027651,2.3592185399010415,2.571555708919601,2.526468050422622,2.571610175717587,2.5265256850310194,2.5716880711258674,2.5717207684749557,2.3326166018082892,2.5230596327329726,1000000
120,12,2.446302066202811,2.541943732869478,2.446302066202811,2.541943732869478,2.446302066202809,2.541943732869476,2.446302066202809,2.541943732869476,2.541943732869478,2.446302066202811,2.5230596327329726,1000000
12,13,1.724358471253137,2.6228292728394185,1.7395150132665478,2.6397094323483468,2.546627095539854,2.640547256068761,2.5633859259649703,2.656805101245251,2.7357148578355064,1.7792981911688397,2.5230596327329726,1000000
24,13,2.6192986167411996,2.6183564040081593,2.6240495283086216,2.6240127523049486,2.4692212355027476,2.6051743083519985,2.4703131314998683,2.606480719808172,2.6164369914351173,2.138228658101784,2.5230596327329726,1000000
48,13,2.3342021969323667,2.5690970151078942,2.335116620124864,2.5699456875736133,2.3579860377365507,2.570546527743581,2.357977772957838,2.5705436123473246,2.570720691143328,2.3316165244766616,2.5230596327329726,1000000
120,13,2.4446053971810557,2.5402470638477226,2.4446053971810557,2.5402470638477226,2.4446053971810557,2.5402470638477226,2.4446053971810557,2.5402470638477226,2.5402470638477226,2.4446053971810557,2.5230596327329726,1000000
12,14,1.6840923670802508,2.576215941809869,1.6995175082311664,2.594270008078264,2.5225168449762765,2.6163267952834115,2.5432978692304675,2.6371474873595147,2.713238042067019,1.756821375400352,2.5230596327329726,1000000
24,14,2.617735351673677,2.6175349496241695,2.6229735218279004,2.62285613918133,2.471790536217569,2.607307517510243,2.473530643453647,2.6089131663049647,2.616880388925261,2.1386720555919276,2.5230596327329726,1000000
48,14,2.3311608011717846,2.568228395228582,2.3316112162444567,2.568586575985598,2.3295630541160746,2.568667220782741,2.3295630541160746,2.568667220782741,2.568667220782741,2.3295630541160746,2.5230596327329726,1000000
120,14,2.4445941410543672,2.540235807721034,2.4445941410543672,2.540235807721034,2.4445941410543672,2.540235807721034,2.4445941410543672,2.540235807721034,2.540235807721034,2.4445941410543672,2.5230596327329726,1000000
12,15,1.7085609456021518,2.6022907738804952,1.7254538537055233,2.6204299917552207,2.5383630128220074,2.6333529565228675,2.556849780136703,2.6508202250954374,2.7313166767871238,1.774900010120457,2.5230596327329726,1000000
24,15,2.6189608984769976,2.6209178280143095,2.622572185443622,2.622483535573657,2.4727632502385597,2.6083078635916395,2.4755462206386127,2.610852216397006,2.6175913969278337,2.1393830635945004,2.5230596327329726,1000000
48,15,2.3337849527095087,2.569759562531615,2.3343715434367494,2.570410857852272,2.3315711842460627,2.5706753509127287,2.3315711842460627,2.5706753509127287,2.5706753509127296,2.331571184246063,2.5230596327329726,1000000
120,15,2.4445750320356168,2.5402166987022836,2.4445750320356168,2.5402166987022836,2.444575032035616,2.5402166987022827,2.444575032035616,2.5402166987022827,2.5402166987022836,2.4445750320356168,2.5230596327329726,1000000
12,16,1.7114451365518686,2.606420862600115,1.727051048802919,2.6213928555338666,2.3945917474207774,2.6392612935809896,2.4132825697630094,2.659283174338037,2.739639666877454,1.7832230002107874,2.5230596327329726,1000000
24,16,2.6226183222961015,2.622606912948276,2.6274297902113846,2.6273358814105583,2.4720759050616556,2.607518705031749,2.4737101534957184,2.609224371967526,2.620407962168523,2.1421996288351894,2.5230596327329726,1000000
48,16,2.353186771245834,2.56734562190256,2.354038258159911,2.568203022385843,2.329150229061608,2.5682543957282746,2.329150229061608,2.5682543957282746,2.5682543957282755,2.329150229061609,2.5230596327329726,1000000
120,16,2.4453041895838274,2.5409458562504943,2.4453041895838274,2.5409458562504943,2.445304189583823,2.54094585625049,2.445304189583823,2.54094585625049,2.5409458562504934,2.4453041895838266,2.5230596327329726,1000000
12,17,1.7087604694409952,2.6078003308692748,1.726101291381862,2.6247114679667316,2.386185499962326,2.6310665727777702,2.4049414880182964,2.650387808315686,2.7270786646979452,1.7706619980312786,2.5230596327329726,1000000
24,17,2.619867586883164,2.620672004775109,2.6229529182740277,2.6230394964524346,2.4706016169479077,2.6065805957635915,2.471747913007897,2.6077293126990555,2.619198474324465,2.1409901409911316,2.5230596327329726,1000000
48,17,2.352692631371339,2.5675154186914506,2.3533729034356985,2.568209732609544,2.3290888783376404,2.568193045004307,2.3290888783376404,2.568193045004307,2.568193045004307,2.3290888783376404,2.5230596327329726,1000000
