Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller
4,0,27.903478622436523,30.56565546989441,30.208465337753296,30.755604028701782,13.616042852401733,13.236358165740967,14.149511337280273,13.47642707824707,0.0008449554443359375,0.001340627670288086
8,0,16.125443696975708,28.853742599487305,19.770076513290405,24.906910181045532,7.268000364303589,7.9696855545043945,9.095933437347412,5.5847156047821045,0.0017595291137695312,0.0019011497497558594
16,0,33.73892092704773,32.15607571601868,32.45653748512268,32.87789821624756,10.316832542419434,10.522672653198242,9.917125701904297,10.210460901260376,0.001984119415283203,0.0020241737365722656
40,0,20.21708083152771,15.533556461334229,27.82073450088501,14.896535396575928,2.7992169857025146,1.6567332744598389,2.677574872970581,2.7872328758239746,0.002176046371459961,0.002214670181274414
4,1,16.818418741226196,16.72408676147461,17.18244218826294,17.16254949569702,17.75319504737854,18.438251972198486,17.93810534477234,18.26852059364319,0.001394510269165039,0.001425027847290039
8,1,25.535486936569214,26.354246139526367,26.5331814289093,25.97722363471985,6.402063369750977,10.768633842468262,6.483396053314209,10.411013841629028,0.0017125606536865234,0.0017535686492919922
16,1,24.691519498825073,26.763989686965942,34.76195287704468,32.12210130691528,9.45607042312622,7.236305236816406,9.46521282196045,9.170295238494873,0.0011067390441894531,0.0011782646179199219
40,1,25.56284189224243,27.143798828125,25.233827352523804,17.642483234405518,5.322642803192139,4.563248157501221,5.542404890060425,5.296527147293091,0.002330780029296875,0.002324342727661133
4,2,11.804317474365234,22.081704139709473,14.820438385009766,13.391117095947266,8.99350905418396,7.9393274784088135,13.767106533050537,8.250317573547363,0.0014805793762207031,0.0015149116516113281
8,2,23.424376964569092,24.559982776641846,13.422223806381226,24.774974822998047,11.220415353775024,6.620609760284424,11.55787205696106,10.294140577316284,0.0017864704132080078,0.0019025802612304688
16,2,27.17129898071289,29.138448476791382,26.854368209838867,24.185789585113525,9.15613842010498,9.109537124633789,7.645968198776245,9.244194984436035,0.0021162033081054688,0.0021576881408691406
40,2,25.372648239135742,26.24071216583252,24.489196062088013,23.39256501197815,4.8465516567230225,2.9928932189941406,5.136333703994751,3.016249418258667,0.002176046371459961,0.0022237300872802734
4,3,29.19245147705078,29.013718128204346,29.766163110733032,28.978402376174927,15.08182692527771,15.079779148101807,15.10229229927063,15.302197456359863,0.0014529228210449219,0.0014810562133789062
