Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller,HyLeak
14,0,13.63031005859375,13.802637100219728,13.696240425109863,13.157021045684814,7.289113521575928,6.612738132476807,5.2467334270477295,4.519145965576172,0.0010859966278076,0.0009799003601074,0.159
28,0,7.847662687301636,7.7478485107421875,12.722642183303831,15.629225492477415,4.731523275375366,3.520289182662964,6.334807872772217,3.8004870414733887,0.0015769004821777,0.0016369819641113,0.19
56,0,14.986716032028198,15.07776379585266,15.905413150787354,12.555431604385376,4.117708206176758,6.948647499084473,4.354862928390503,7.0853376388549805,0.0035054683685302,0.0035889148712158,0.231
140,0,3.368260383605957,3.237091064453125,3.505207300186157,3.517786979675293,1.896906375885009,1.0909078121185305,1.905021905899048,1.2841100692749023,0.0021648406982421,0.0022978782653808,0.249
14,1,6.956662893295288,11.906275749206545,13.791183471679688,13.810474157333374,5.639602184295654,5.533222913742065,6.063237190246582,6.3077921867370605,0.0019683837890625,0.0019996166229248,0.154
28,1,7.982335329055786,12.58134698867798,13.907526731491089,13.998743534088137,5.752080202102661,5.836056232452393,6.111688852310181,6.096273183822632,0.0026745796203613,0.0027401447296142,0.19
56,1,12.65946102142334,14.47475290298462,14.133090257644652,13.74503231048584,7.087054967880249,4.033522605895996,7.328949213027954,5.541761159896851,0.0034005641937255,0.0034208297729492,0.216
140,1,7.577457427978516,12.920073509216309,10.063201665878296,12.638927936553957,1.7603051662445068,2.6043148040771484,1.6114492416381836,2.158447504043579,0.0039467811584472,0.00398850440979,0.246
14,2,13.987520456314089,23.06649136543274,23.354087114334103,24.14430952072144,7.0812036991119385,6.841863632202148,7.448400259017944,7.211593866348267,0.0011045932769775,0.0011265277862548,0.163
28,2,15.168396472930908,15.219579696655272,16.498992681503296,17.009154558181763,5.741704225540161,4.902592897415161,6.2256505489349365,5.628103256225586,0.0028038024902343,0.0028386116027832,0.191
