Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller,HyLeak
32,0,71906.63545393944,72196.5070464611,103596.11865353584,105278.3758265972,4505.719525098801,4912.715878725052,5149.320529460907,4578.290863990784,0.2150440216064453,0.2480568885803222,16.568
64,0,65811.4838693142,63335.90491104126,90756.1131761074,87285.06091547012,6796.761028051376,5734.572756290436,6675.244971513748,7196.797461509705,0.3087589740753174,0.3088753223419189,89.479
128,0,14032.914880037308,12134.973275184631,36608.28095626831,36476.18331408501,8393.119616031647,8336.929973840714,7198.389981031418,7616.976077079773,0.3810460567474365,0.373873233795166,88.697
320,0,7696.303849935532,7643.426155328751,8756.844642400742,9362.59408044815,10008.457544088364,8853.942852258682,9610.449072122574,7756.311600208282,0.7860703468322754,0.7834732532501221,33.848
32,1,80817.42956113815,80048.50259304047,91492.84311270714,97480.74374127388,4426.748805761337,5946.942357301712,4364.890073060989,5652.052123308182,0.4589850902557373,0.4593181610107422,15.856
64,1,99865.49614787102,102154.02762508392,109163.62146902084,121306.805467844,5762.681057453156,6636.264247179031,7030.2219886779785,6191.231686353684,0.5728058815002441,0.5753657817840576,46.786
128,1,13435.197087287905,12810.123526334764,35860.36559653282,33791.402866601944,9073.04726433754,8080.387105226517,7123.531504869461,8474.151394605637,0.6755731105804443,0.6736011505126953,48.551
320,1,7137.193075418472,7818.754290580749,7981.490822076797,7387.477847576141,8548.291547775269,9811.562920808792,7848.782699346542,9289.823974370956,0.4235410690307617,0.424567699432373,35.973
32,2,72121.41855359077,75983.24488162994,96029.76092362404,95304.59598517418,5298.160484552383,5716.390151023865,4814.9574229717255,5863.688744544983,0.4538671970367431,0.4577083587646484,17.02
64,2,70349.0248837471,70245.5254600048,83797.3257598877,92368.04209041595,6110.479547023773,7296.106497764587,7004.246889591217,6449.281513214111,0.3099758625030517,0.310814619064331,45.235
128,2,11949.644905090332,14142.931636095049,34101.53964185715,35063.961099386215,8258.554602622986,7875.975550889969,9131.737827062609,8705.760461091995,0.367311954498291,0.3680438995361328,95.63
