Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller
16,0,2349.3067531585693,2250.402522802353,2565.0522723197937,1998.246616601944,145.4441900253296,253.00137948989868,228.8056697845459,225.99249458312988,0.012811899185180664,0.019064664840698242
33,0,2568.064711332321,2558.404942512512,2582.562851190567,2316.0280537605286,160.66804766654968,189.7464189529419,186.41256403923035,129.55753469467163,0.025011062622070312,0.025244951248168945
66,0,1809.3384339809418,1810.416068315506,1488.5000462532043,1813.193163394928,100.07343173027039,140.7487072944641,140.57059597969055,125.11491513252258,0.026513338088989258,0.026415109634399414
165,0,228.52179646492004,236.35477471351624,221.8508062362671,239.91509628295898,95.44108200073242,68.17513084411621,95.34714770317078,95.41004204750061,0.02791571617126465,0.027983427047729492
16,1,1709.1388609409332,2511.7972066402435,1921.80015707016,2188.6964876651764,275.39808177948,257.59798765182495,266.74678349494934,283.5417549610138,0.02383732795715332,0.02377486228942871
33,1,2456.0879321098328,2459.0741908550262,2462.368544101715,2474.205796957016,118.28770279884338,204.91164326667786,119.09979033470154,191.72046828269958,0.025134563446044922,0.025394439697265625
66,1,1252.654355764389,1281.96191239357,1334.6646919250488,1292.5800290107727,82.11956906318665,146.4644856452942,112.20553064346313,88.2532410621643,0.014255523681640625,0.014312267303466797
165,1,251.5856113433838,141.11557960510254,252.6918065547943,215.77861094474792,101.33730578422546,101.13871049880981,101.8666582107544,101.35649728775024,0.015089035034179688,0.015152215957641602
16,2,2586.001725912094,1912.8909120559692,2479.5871727466583,2160.4567987918854,141.78532719612122,141.11450481414795,142.11658430099487,145.22332429885864,0.023229122161865234,0.02353501319885254
33,2,2293.1088874340057,2505.854135274887,2850.3230686187744,1802.427544593811,200.23282074928284,201.89826726913452,188.13702154159546,200.72637963294983,0.013483047485351562,0.013583660125732422
66,2,2006.426902770996,2006.3903934955597,2012.6999711990356,2021.0613424777985,154.60088062286377,160.26509380340576,158.2898645401001,154.50508379936218,0.02722954750061035,0.027411937713623047
165,2,225.25588130950928,165.18019771575928,228.02389430999756,203.13152694702148,96.07051062583923,96.54629921913147,96.57131457328796,96.62500309944153,0.028328657150268555,0.0282442569732666
16,3,2502.073280096054,2174.1687285900116,1843.5572555065155,2665.908451795578,173.5516119003296,268.7284872531891,161.30029582977295,269.8786590099335,0.0236663818359375,0.024196863174438477
33,3,1557.7927749156952,1706.5846757888794,2039.0205347537994,2479.4513692855835,224.2642822265625,225.16366958618164,227.70290088653564,228.04315900802612,0.01350855827331543,0.013567447662353516
66,3,1383.7372012138367,1678.8595614433289,1674.241590499878,1567.320570230484,96.0430040359497,140.51827216148376,81.23081803321838,132.3637297153473,0.0265352725982666,0.026645421981811523
