Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller,HyLeak
5,0,1.3016035556793213,1.5510504245758057,1.408402442932129,1.18282151222229,0.8856077194213867,0.5937228202819824,0.929373025894165,0.8943953514099121,0.0003297328948974,0.0002167224884033,0.229
10,0,1.9124853610992432,1.957813501358032,1.3983023166656494,1.9762587547302248,0.6227331161499023,0.6016545295715332,0.6552808284759521,0.621802568435669,0.0003054141998291,0.0003566741943359,0.23800000000000002
20,0,1.964462757110596,2.695076942443848,2.442992210388184,2.6813666820526123,1.4331820011138916,1.4332716464996338,1.442885398864746,1.4894146919250488,0.0003390312194824,0.0003888607025146,0.224
50,0,3.255587339401245,3.997956991195679,3.3012349605560303,2.3539087772369385,1.965052604675293,1.229570388793945,2.0127956867218018,1.941530704498291,0.0003459453582763,0.0003862380981445,0.309
5,1,1.6944761276245115,1.7046608924865725,1.7298016548156738,1.7759602069854736,0.9608070850372314,0.9276719093322754,0.9526965618133544,0.95517897605896,0.0002510547637939,0.0002827644348144,0.273
10,1,2.241476535797119,2.138256072998047,2.137203454971313,2.145641565322876,0.984959602355957,0.956357717514038,1.0058956146240234,0.9729597568511964,0.000274658203125,0.0003094673156738,0.211
20,1,2.7910099029541016,2.7684991359710693,2.7047834396362305,2.8503191471099854,0.9621093273162842,0.9322657585144044,0.9696812629699708,0.9372127056121826,0.0003254413604736,0.0003473758697509,0.244
50,1,4.133853197097778,4.1485755443573,4.164406061172485,4.1566197872161865,0.3626241683959961,0.3573520183563232,0.3488876819610595,0.3661599159240722,0.0003328323364257,0.000375747680664,0.23900000000000002
5,2,1.205854415893555,1.1976304054260254,1.237102746963501,1.207897424697876,0.6711781024932861,0.6742572784423828,0.6622967720031738,0.6849005222320557,0.0002381801605224,0.0002729892730712,0.243
10,2,1.5915675163269043,1.6101438999176023,1.5859413146972656,1.6524250507354736,0.3532171249389648,0.3374221324920654,0.3618025779724121,0.3562190532684326,0.0002682209014892,0.000300645828247,0.291
20,2,2.0558080673217773,2.107262134552002,1.1908950805664062,2.1443722248077397,1.0982434749603271,0.8929386138916016,1.132498264312744,1.0974361896514893,0.0003414154052734,0.0003621578216552,0.226
50,2,1.6255958080291748,1.6477117538452148,1.642077922821045,1.5960745811462402,0.3347387313842773,0.3331596851348877,0.3340039253234863,0.3336439132690429,0.0003290176391601,0.0003597736358642,0.241
5,3,1.5719568729400637,1.5184805393218994,1.5620241165161133,1.5726637840270996,0.9375162124633788,0.9045186042785645,0.9592223167419434,0.9217641353607178,0.0002477169036865,0.0002799034118652,0.248
10,3,1.9424517154693604,2.077251434326172,1.1678979396820068,2.143158197402954,1.0437681674957275,0.7924413681030273,1.0469768047332764,1.0506553649902344,0.00030517578125,0.0003385543823242,0.251
20,3,2.503180980682373,2.4642693996429443,2.559929370880127,2.108659029006958,0.9499950408935548,0.975470781326294,0.9494845867156982,0.9903383255004884,0.0003149509429931,0.0003468990325927,0.246
50,3,3.4502413272857666,3.4346344470977783,3.358233690261841,3.3928050994873047,0.5031883716583252,0.5084953308105469,0.5142993927001953,0.5103490352630615,0.0003261566162109,0.0003671646118164,0.249
5,4,1.5821735858917236,1.8012826442718506,1.815178155899048,1.8072121143341064,1.1879751682281494,1.197429895401001,1.2457478046417236,1.188302993774414,0.0002901554107666,0.0003156661987304,0.24
10,4,1.74314546585083,1.7673707008361816,1.7799758911132812,1.7742443084716797,1.2974839210510254,1.3073008060455322,1.3318719863891602,1.2772645950317385,0.0002925395965576,0.0003242492675781,0.23
20,4,2.215085506439209,2.1869091987609863,2.1582417488098145,2.1411757469177246,0.4353368282318115,0.7596049308776855,0.4415071010589599,0.716179370880127,0.0003318786621093,0.0003488063812255,0.279
50,4,2.0649406909942627,2.098304986953736,1.507805347442627,2.6848788261413574,0.0864326953887939,0.0567338466644287,0.0896370410919189,0.0900752544403076,0.0002014636993408,0.00059175491333,0.23500000000000001
5,5,1.1431152820587158,2.0092735290527344,1.1461412906646729,1.9690029621124268,0.5683937072753906,0.6666080951690674,0.6948072910308838,0.6176493167877197,0.0002617835998535,0.0002973079681396,0.23900000000000002
10,5,2.111403226852417,2.150488376617432,1.7500441074371338,2.07997727394104,0.6079368591308594,0.5848214626312256,0.608633279800415,0.6175277233123779,0.0002796649932861,0.0003113746643066,0.217
