Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller,HyLeak
2,0,0.2868475914001465,0.3048970699310303,0.3209528923034668,0.3200364112854004,0.0407898426055908,0.0339670181274414,0.0333561897277832,0.0340433120727539,0.00034761428833,0.0003314018249511,0.088
4,0,0.387986421585083,0.6604108810424805,0.4537661075592041,0.7055847644805908,0.2964012622833252,0.2272427082061767,0.3110847473144531,0.3072834014892578,0.000373363494873,0.0004103183746337,0.08
8,0,0.4536027908325195,0.4547014236450195,0.4969227313995361,0.461012601852417,0.123248815536499,0.1305766105651855,0.1229932308197021,0.1186926364898681,0.0003719329833984,0.000403881072998,0.08600000000000001
20,0,0.303858995437622,0.3313736915588379,0.316608190536499,0.3226940631866455,0.0328702926635742,0.0299203395843505,0.0257060527801513,0.0284712314605712,0.0003952980041503,0.0004308223724365,0.101
2,1,0.4178972244262695,0.660292387008667,0.6873130798339844,0.6992771625518799,0.0307166576385498,0.0299744606018066,0.0434646606445312,0.0316529273986816,0.0002810955047607,0.0003252029418945,0.079
4,1,0.4976406097412109,0.495676040649414,0.5307779312133789,0.5247573852539062,0.3839819431304931,0.3203878402709961,0.4136116504669189,0.309739351272583,0.0003890991210937,0.0004384517669677,0.084
8,1,0.8407440185546875,0.8563156127929688,0.8496263027191162,0.5660233497619629,0.1699995994567871,0.17203950881958,0.1881904602050781,0.1735281944274902,0.0004012584686279,0.0004925727844238,0.088
20,1,0.2236294746398925,0.3220462799072265,0.2395994663238525,0.3167729377746582,0.0322365760803222,0.0259695053100585,0.0323457717895507,0.0330469608306884,0.0004103183746337,0.0004262924194335,0.08600000000000001
2,2,0.4917213916778564,0.6706409454345703,0.7331392765045166,0.6137137413024902,0.0405809879302978,0.0354037284851074,0.0416882038116455,0.0354413986206054,0.0003638267517089,0.000349998474121,0.076
4,2,0.42159104347229,0.5294654369354248,0.6118535995483398,0.5827138423919678,0.3943221569061279,0.3909971714019775,0.4257881641387939,0.3995587825775146,0.0003912448883056,0.0004427433013916,0.08
8,2,0.4550232887268066,0.4376852512359619,0.4353621006011963,0.4437258243560791,0.1638314723968505,0.1997513771057129,0.1786129474639892,0.2008681297302246,0.0004687309265136,0.0004780292510986,0.082
20,2,0.0243735313415527,0.0152735710144042,0.0218338966369628,0.0126218795776367,0.031827688217163,0.0330348014831543,0.0325391292572021,0.0314729213714599,0.0002346038818359,0.0003242492675781,0.089
2,3,0.4073173999786377,0.677356481552124,0.7563037872314453,0.732490062713623,0.0411152839660644,0.040041446685791,0.0383882522583007,0.0381183624267578,0.0003046989440917,0.0003407001495361,0.078
4,3,0.5377504825592041,0.626910924911499,0.4481227397918701,0.6184253692626953,0.3547143936157226,0.3478765487670898,0.3706552982330322,0.3652997016906738,0.000340461730957,0.0003550052642822,0.105
8,3,0.3204283714294433,0.4514210224151611,0.3260295391082763,0.4677786827087402,0.0901234149932861,0.0827641487121582,0.0784013271331787,0.0854456424713134,0.000368595123291,0.0004017353057861,0.08700000000000001
20,3,0.3205580711364746,0.2933125495910644,0.1862907409667968,0.3183605670928955,0.033423900604248,0.016566514968872,0.0312213897705078,0.0229113101959228,0.0004119873046875,0.0004692077636718,0.099
2,4,0.2858977317810058,0.2953979969024658,0.3340051174163818,0.3014585971832275,0.0356793403625488,0.0340876579284668,0.0400824546813964,0.0357656478881835,0.0002431869506835,0.0002679824829101,0.078
4,4,0.3200399875640869,0.5431163311004639,0.5743565559387207,0.5018086433410645,0.3482587337493896,0.3952674865722656,0.4187757968902588,0.4139015674591064,0.0004093647003173,0.0004522800445556,0.083
8,4,0.369765043258667,0.6637973785400391,0.6284868717193604,0.5050852298736572,0.3000996112823486,0.2989406585693359,0.3008594512939453,0.3011364936828613,0.0003852844238281,0.0004112720489501,0.083
20,4,0.3130247592926025,0.3096330165863037,0.3141002655029297,0.3204019069671631,0.0338554382324218,0.0318124294281005,0.033797264099121,0.0332772731781005,0.0003993511199951,0.0006422996520996,0.10200000000000001
2,5,0.6481716632843018,0.6867697238922119,0.3867924213409424,0.7218930721282959,0.0407731533050537,0.0394761562347412,0.0397868156433105,0.0390937328338623,0.0003275871276855,0.0003902912139892,0.079
4,5,0.7166547775268555,0.706005334854126,0.7830991744995117,0.7473750114440918,0.3436431884765625,0.3673458099365234,0.3585000038146972,0.3835771083831787,0.0003619194030761,0.0003952980041503,0.08700000000000001
8,5,0.6253983974456787,0.6601276397705078,0.6854045391082764,0.6855404376983643,0.1310939788818359,0.1461093425750732,0.1499497890472412,0.1243915557861328,0.0003840923309326,0.0004162788391113,0.08700000000000001
20,5,0.3179323673248291,0.2822039127349853,0.3229103088378906,0.2251725196838379,0.0318071842193603,0.0306348800659179,0.0331487655639648,0.0298876762390136,0.0004127025604248,0.0004570484161376,0.084
2,6,0.313079833984375,0.3155033588409424,0.3322656154632568,0.3579304218292236,0.0386965274810791,0.0195305347442626,0.0360586643218994,0.021519660949707,0.0002954006195068,0.0003252029418945,0.08
4,6,0.6301887035369873,0.6743025779724121,0.6552672386169434,0.6034379005432129,0.3039028644561767,0.2423079013824463,0.3349835872650146,0.3140475749969482,0.0003552436828613,0.0003819465637207,0.083
