Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller,HyLeak
16,0,1863.701861619949,2015.9669942855835,2130.71461892128,2289.175482749939,106.04356098175047,120.1097321510315,170.7493884563446,110.36959195137024,0.027015209197998,0.049929141998291,1.916
32,0,323.9130907058716,323.7117772102356,772.4752609729767,877.2131445407867,151.37816286087036,228.5384168624878,132.6657190322876,236.6787235736847,0.0781161785125732,0.0783338546752929,2.378
64,0,419.9567687511444,510.3955507278442,924.866672039032,947.5987741947174,216.4219708442688,173.9880895614624,238.8075881004333,191.8985230922699,0.0524239540100097,0.0523633956909179,3.074
160,0,183.955983877182,144.7089593410492,279.3701786994934,289.3164858818054,318.2662606239319,312.95922470092773,269.1435134410858,322.34576773643494,0.1109068393707275,0.1110639572143554,3.897
16,1,1875.7310247421265,1758.9186391830444,2255.23504114151,1902.9523785114288,190.3840808868408,176.7167558670044,199.0218815803528,198.9410569667816,0.061960220336914,0.061784029006958,1.955
32,1,175.37093091011047,307.98171758651733,815.4500381946564,700.7390766143799,130.3971095085144,220.7447988986969,134.02138662338257,169.9155821800232,0.0789322853088378,0.0794382095336914,2.382
64,1,321.5689833164215,291.07003116607666,712.4101161956787,784.6378445625305,278.2056121826172,172.80163645744324,276.374472618103,276.7054650783539,0.0521759986877441,0.0523622035980224,3.059
160,1,111.97135376930235,200.464106798172,221.5352795124054,253.0290870666504,274.10225343704224,263.3624954223633,186.4144308567047,309.31378054618835,0.1107895374298095,0.1108942031860351,4.001
16,2,1080.2700057029724,1928.2906115055084,2138.538757801056,2248.507547140121,179.90411710739136,174.59463024139404,187.43974924087524,113.31065130233765,0.0615825653076171,0.0620932579040527,1.89
32,2,314.0766189098358,312.52702355384827,850.5399758815765,754.0017762184143,128.55085229873657,228.91279292106628,167.05983877182007,153.95489048957825,0.0768203735351562,0.0770237445831298,2.4
64,2,1506.1512620449066,1801.2249500751495,2052.9465341568,2184.83394408226,253.1516637802124,267.2869191169739,176.35463309288025,252.245619058609,0.093041181564331,0.0932443141937255,3.095
160,2,257.97677516937256,179.08652067184448,315.9730703830719,275.52578043937683,314.9586973190308,309.3662934303284,317.9812955856323,329.9622139930725,0.1061079502105712,0.1064844131469726,3.88
