15625,0,0,0,0,0,0,0
7790,2607,2647,0,2581,0,0,0
7837,2654,2588,0,2546,0,0,0
3197,3032,3110,1094,3113,1032,1047,0
7657,2670,2596,0,2702,0,0,0
3166,3114,3094,1016,3099,1104,1032,0
3135,3021,3037,1053,3227,1052,1100,0
773,2319,2269,2344,2373,2358,2378,811
7718,7907,0,0,0,0,0,0
3193,7273,1074,1469,1056,1560,0,0
3186,7219,1012,1598,1051,1559,0,0
757,5560,784,3345,839,3276,256,808
3062,7259,1063,1559,1053,1629,0,0
775,5418,757,3354,810,3479,247,785
778,5487,807,3344,813,3313,254,829
0,3169,0,4631,0,4674,0,3151
7826,0,7799,0,0,0,0,0
3165,1024,7297,1546,1033,0,1560,0
3126,975,7296,1576,1082,0,1570,0
765,790,5447,3288,752,278,3539,766
3062,1020,7331,1617,1048,0,1547,0
787,754,5497,3361,762,252,3394,818
806,803,5427,3378,751,255,3419,786
0,0,3033,4769,0,0,4660,3163
3131,4649,4672,3173,0,0,0,0
805,3377,3374,5542,247,757,763,760
787,3457,3361,5425,247,770,822,756
0,1628,1564,7221,0,1036,998,3178
808,3391,3326,5512,255,712,817,804
0,1511,1536,7314,0,1058,1072,3134
0,1645,1552,7257,0,1025,1027,3119
0,0,0,7837,0,0,0,7788
7786,0,0,0,7839,0,0,0
3094,1016,1084,0,7305,1571,1555,0
3121,1053,987,0,7310,1595,1559,0
782,785,792,235,5397,3380,3458,796
2984,1035,1008,0,7418,1553,1627,0
729,757,847,272,5530,3300,3390,800
770,777,781,248,5456,3420,3330,843
0,0,0,0,3173,4637,4675,3140
3029,4717,0,0,4750,3129,0,0
785,3402,248,769,3356,5475,773,817
792,3439,234,768,3293,5549,795,755
0,1513,0,1039,1584,7307,1075,3107
751,3366,264,769,3424,5503,760,788
0,1483,0,1043,1629,7378,995,3097
0,1530,0,1119,1584,7164,1087,3141
0,0,0,0,0,7834,0,7791
3118,0,4764,0,4743,0,3000,0
787,250,3439,797,3404,756,5406,786
811,275,3420,766,3400,771,5375,807
0,0,1623,1024,1563,1037,7339,3039
812,260,3352,793,3358,782,5479,789
0,0,1543,1009,1585,1057,7301,3130
0,0,1565,1040,1593,1054,7259,3114
0,0,0,0,0,0,7766,7859
779,2358,2336,2348,2336,2331,2349,788
0,1061,1031,3083,1076,3126,3120,3128
0,1050,1011,3058,1046,3081,3135,3244
0,0,0,2573,0,2526,2606,7920
0,1021,1093,3038,1074,3165,3066,3168
0,0,0,2589,0,2593,2638,7805
0,0,0,2662,0,2519,2541,7903
0,0,0,0,0,0,0,15625
