0,100000,0,0,0,0,0,0,0,0
0,100000,0,0,0,0,0,0,0,0
0,88884,9858,1109,133,15,0,1,0,0
0,77843,17228,3804,873,194,44,11,3,0
3,66466,22382,7415,2518,763,307,111,29,6
60,55584,24614,11116,4754,2186,993,449,168,76
518,44304,24572,13773,7667,4325,2347,1352,711,431
2559,33268,22151,14803,9969,6720,4442,2854,1947,1287
10565,22317,17257,13433,10380,8245,6237,4773,3806,2987
34547,11014,9818,8742,7775,7158,6262,5418,4920,4346
