54,46,55,61,38,39,45,57,61,49,59,64,44,57,39,62,57,57,49,43,60,62,65,66,54,55,57,51,62,52,60,56
61,60,60,60,52,54,60,61,43,63,52,53,48,47,66,63,39,47,48,47,57,65,61,48,56,52,54,52,53,56,42,56
50,55,43,60,55,65,49,47,45,51,41,60,73,52,51,53,45,57,43,58,44,70,65,55,53,60,54,59,50,57,53,63
56,61,47,40,49,46,47,58,54,59,62,56,51,68,61,54,53,48,47,66,46,62,49,61,53,49,59,74,63,49,42,46
49,61,59,57,57,46,62,70,51,64,54,63,44,54,55,54,52,49,45,59,66,63,55,43,48,44,58,48,59,54,48,45
20,89,91,105,85,94,108,99,87,82,61,36,62,41,36,30,13,14,21,8,6,3,53,2,47,51,66,66,76,69,76,86
18,85,112,88,102,98,109,105,90,99,44,25,54,44,31,22,17,15,19,5,7,2,41,1,1,57,76,50,66,88,89,76
19,75,91,83,93,91,96,91,102,98,53,42,58,52,35,37,28,12,20,15,4,10,41,3,5,57,52,69,65,76,89,74
17,79,78,89,93,93,98,81,102,70,60,29,41,48,40,31,32,18,21,16,13,15,36,3,10,42,76,55,84,101,80,85
21,79,87,83,91,102,94,79,104,67,55,30,52,45,38,29,25,18,16,15,19,12,55,10,13,61,66,59,85,74,84,68
20,87,63,94,84,69,85,92,112,71,70,37,52,52,40,37,28,29,20,20,17,10,55,16,12,46,63,62,76,59,75,83
50,57,46,58,53,53,48,50,53,64,53,44,45,48,56,69,61,53,54,60,54,58,63,50,56,41,74,63,43,59,45,55
40,77,79,80,88,82,69,84,89,73,68,41,60,37,42,29,35,27,24,24,24,16,47,18,15,65,75,63,66,82,60,57
42,73,82,84,42,73,72,66,70,74,67,47,55,37,44,46,35,30,34,28,30,26,70,26,27,60,54,65,65,61,60,91
38,77,72,65,71,64,83,75,79,78,74,45,57,52,44,37,43,32,36,23,29,24,51,26,27,51,55,54,65,67,70,72
32,59,66,75,77,73,76,68,69,71,55,34,62,51,46,49,44,37,29,29,33,39,57,36,28,76,54,54,73,67,53,64
41,52,84,69,61,71,67,68,67,64,51,48,55,56,57,32,46,49,37,35,34,50,48,44,34,54,62,61,43,68,55,73
37,64,66,74,72,75,58,59,81,60,64,42,59,54,49,57,45,49,46,35,32,34,39,33,34,56,70,63,44,63,64,58
59,55,49,69,61,61,54,59,67,51,48,48,64,51,50,43,41,51,55,52,53,38,61,34,47,66,48,48,56,65,69,63
54,72,53,61,64,64,57,53,50,59,52,60,52,57,48,51,41,46,42,35,50,53,47,68,37,50,63,52,63,59,55,68
53,50,55,53,56,71,64,63,48,45,52,71,63,48,52,53,51,46,51,43,50,48,49,40,47,58,58,60,59,64,55,60
48,55,44,54,62,65,47,53,59,57,50,52,57,48,60,62,54,46,52,54,59,57,52,51,45,82,62,53,48,45,54,49
40,56,52,53,48,59,53,44,58,50,65,44,62,46,59,60,40,69,57,62,55,60,43,60,50,51,56,63,58,52,52,59
54,64,57,48,54,64,55,54,62,59,51,55,50,56,51,67,54,50,68,45,48,42,47,57,65,48,44,52,57,53,50,55
59,63,53,57,58,49,56,59,54,72,63,45,41,65,52,60,53,51,53,49,56,40,49,74,66,52,46,54,48,38,47,54
53,55,52,56,46,59,49,53,44,63,55,55,52,65,65,57,51,63,66,59,50,55,58,53,52,72,46,58,41,53,47,33
54,53,65,66,56,73,48,59,47,50,52,57,54,54,59,65,62,48,50,53,47,59,57,46,60,43,49,55,42,48,53,52
47,50,64,55,61,53,47,58,57,56,48,58,60,51,49,50,52,46,50,59,57,56,57,67,47,52,53,45,58,63,40,70
59,65,57,47,60,72,43,54,61,55,42,46,49,49,57,49,53,56,49,65,70,45,43,50,50,47,66,47,63,52,58,57
62,60,64,59,58,54,47,47,51,56,63,64,51,54,62,49,60,43,58,63,44,49,46,46,55,36,61,54,54,65,49,52
51,50,47,54,48,57,50,45,41,56,43,72,48,56,55,61,56,54,55,47,46,56,64,57,64,50,52,66,58,53,65,59
49,46,54,58,42,62,58,64,47,55,53,61,57,48,63,57,53,53,64,56,48,52,62,47,56,49,58,58,41,53,52,60
