0,125000,0,0,0,0,0,0,0,0
0,125000,0,0,0,0,0,0,0,0
0,107067,15352,2210,319,43,7,2,0,0
2,89507,25422,7195,2055,592,166,49,7,5
70,71228,30797,13033,5702,2413,1029,457,189,82
768,53586,30661,17362,10053,5804,3219,1917,1038,592
6150,35423,25799,18143,12984,9297,6734,4749,3378,2343
31324,17695,15323,13065,11249,9709,8404,7067,6031,5133
