244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,17,23,0,19,0,0,0,17,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,22,16,0,24,0,0,0,19,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,18,24,4,21,3,13,0,20,5,3,0,4,0,0,0,25,2,5,0,2,0,0,0,3,0,0,0,0,0,0,0,30,1,6,0,5,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,14,28,0,21,0,0,0,29,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,14,24,5,24,2,4,0,25,2,3,0,10,0,0,0,16,2,2,0,5,0,0,0,3,0,0,0,0,0,0,0,30,4,2,0,3,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,31,24,3,20,3,5,0,30,6,0,0,3,0,0,0,26,1,2,0,3,0,0,0,2,0,0,0,0,0,0,0,31,3,1,0,3,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,15,15,3,19,13,6,3,12,6,5,1,7,1,2,0,14,9,9,2,7,1,0,0,7,1,2,0,0,0,0,0,17,4,8,1,3,1,2,0,7,0,1,0,1,0,0,0,6,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0
125,27,20,0,23,0,0,0,16,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,22,18,6,29,4,1,0,23,5,3,0,3,0,0,0,23,4,3,0,1,0,0,0,5,0,0,0,0,0,0,0,20,3,4,0,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,27,17,6,27,4,2,0,26,2,6,0,4,0,0,0,25,4,5,0,2,0,0,0,3,0,0,0,0,0,0,0,16,4,2,0,4,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,17,15,4,25,6,6,0,13,4,13,0,6,1,2,0,15,6,8,1,7,1,0,0,2,2,0,0,0,0,0,0,17,9,7,1,12,1,0,0,4,1,0,0,0,0,0,0,6,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
64,24,19,5,17,5,4,0,22,0,6,0,1,0,0,0,21,1,6,0,3,0,0,0,0,0,0,0,0,0,0,0,23,3,5,0,4,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,18,13,13,9,2,6,2,17,7,4,5,6,3,1,0,16,7,7,2,6,0,0,0,8,0,0,0,2,0,0,0,18,3,11,1,7,0,1,0,2,0,4,0,1,0,0,0,9,3,2,0,1,0,0,0,3,0,0,0,0,0,0,0
28,20,17,6,28,5,8,0,9,6,5,1,10,2,1,0,20,4,5,1,4,1,0,0,9,0,0,0,2,0,0,0,11,2,5,1,6,2,2,0,9,1,2,0,2,0,0,0,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
8,10,12,5,10,6,10,0,8,11,9,2,4,0,3,0,13,8,6,0,6,2,1,0,4,6,3,0,3,1,0,0,10,8,11,4,9,3,2,0,6,8,1,0,4,0,0,0,13,3,1,1,1,1,1,0,4,0,1,0,1,0,0,0
140,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,73,11,6,18,10,0,0,13,8,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,92,7,14,10,15,0,0,5,8,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,59,18,17,11,13,1,3,10,11,2,1,0,2,0,0,6,13,2,1,1,1,0,0,1,2,0,0,0,0,0,0,11,10,3,3,1,3,0,0,2,4,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
