976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,96,96,0,88,0,0,0,90,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517,92,98,0,87,0,0,0,88,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,113,98,19,110,20,21,0,119,20,16,0,22,0,0,0,115,25,22,0,15,0,0,0,27,0,0,0,0,0,0,0
492,87,99,0,101,0,0,0,106,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,115,122,20,118,19,30,0,94,26,15,0,25,0,0,0,105,19,16,0,15,0,0,0,23,0,0,0,0,0,0,0
194,116,100,19,133,21,24,0,114,22,21,0,21,0,0,0,106,22,21,0,21,0,0,0,21,0,0,0,0,0,0,0
82,76,63,41,84,43,39,10,99,53,30,10,37,9,9,0,91,45,33,7,25,7,9,0,41,13,12,0,8,0,0,0
496,91,93,0,92,0,0,0,105,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,125,100,26,108,24,23,0,94,13,26,0,24,0,0,0,103,20,22,0,20,0,0,0,31,0,0,0,0,0,0,0
198,122,119,18,98,16,23,0,109,19,22,0,26,0,0,0,114,28,23,0,20,0,0,0,21,0,0,0,0,0,0,0
88,74,87,42,91,30,40,8,77,34,41,8,51,11,8,0,78,45,44,3,42,8,7,0,43,8,4,0,4,0,0,0
196,110,110,29,124,19,27,0,108,25,23,0,18,0,0,0,110,19,23,0,21,0,0,0,14,0,0,0,0,0,0,0
81,85,80,49,81,42,45,7,71,48,37,5,34,3,6,0,83,42,42,10,40,7,9,0,50,5,8,0,6,0,0,0
66,79,113,42,76,30,41,12,83,45,37,8,40,9,2,0,90,37,41,4,41,12,12,0,36,6,7,0,7,0,0,0
24,46,37,51,47,48,45,26,39,48,36,21,25,32,25,7,58,53,45,24,46,23,27,6,62,22,21,4,20,3,5,0
465,100,95,0,116,0,0,0,95,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,109,102,14,119,25,19,0,120,20,23,0,18,0,0,0,98,20,20,0,22,0,0,0,32,0,0,0,0,0,0,0
230,118,107,15,103,18,19,0,99,24,19,0,26,0,0,0,117,21,19,0,20,0,0,0,21,0,0,0,0,0,0,0
92,78,84,31,78,43,44,3,85,35,42,8,34,9,12,0,80,30,37,8,45,11,10,0,46,8,14,0,9,0,0,0
207,105,115,20,101,26,20,0,124,20,19,0,21,0,0,0,103,23,30,0,26,0,0,0,16,0,0,0,0,0,0,0
83,65,86,47,84,39,35,8,86,38,31,9,40,4,12,0,85,34,48,7,42,8,11,0,45,10,5,0,14,0,0,0
78,70,104,29,94,34,37,10,68,46,33,3,44,8,9,0,86,48,33,7,48,8,7,0,42,10,11,0,9,0,0,0
27,37,42,39,50,50,53,20,51,44,49,18,39,22,28,3,50,50,43,23,44,20,24,6,39,34,27,7,24,6,7,0
238,98,103,19,114,18,28,0,97,28,14,0,19,0,0,0,111,23,21,0,14,0,0,0,31,0,0,0,0,0,0,0
75,80,79,35,89,45,34,6,90,41,38,6,38,8,8,0,94,29,31,13,47,11,11,0,46,5,5,0,12,0,0,0
79,75,88,31,68,40,40,7,85,41,42,10,46,7,12,0,75,44,51,9,47,11,8,0,38,3,8,0,11,0,0,0
21,49,40,46,50,52,44,25,40,48,39,23,41,20,24,5,52,46,53,19,53,26,19,7,51,24,16,7,17,9,10,0
86,93,66,55,76,31,45,9,78,38,36,10,37,8,7,0,88,43,47,6,39,4,13,0,38,7,6,0,10,0,0,0
21,44,52,40,33,51,42,26,45,38,52,20,41,20,22,7,41,50,47,27,48,19,22,13,50,27,37,6,25,7,3,0
