sample_size,trial,mi_empirical,mi_miller,mi_chao
128,0,1.0,0.28515625,0.09595115291887832
128,1,1.0,0.25390625,-0.029553563699229346
128,2,1.0,0.30078125,0.038867134879555176
128,3,1.0,0.24609375,-0.08263944113130331
128,4,1.0,0.28515625,0.11541748888593445
128,5,1.0,0.2578125,-0.05562414725560799
128,6,1.0,0.296875,-0.04989570089396525
128,7,0.9921875,0.29296875,-0.05938714598247985
128,8,1.0,0.2890625,-0.06320291821019991
128,9,1.0,0.2734375,-0.10876331324384111
128,10,0.984375,0.25390625,-0.09228231932217265
128,11,0.9921875,0.30859375,0.12661818860913926
128,12,1.0,0.265625,-0.08869117469688823
128,13,1.0,0.3125,0.1308968586028539
128,14,1.0,0.265625,0.16603643357929015
128,15,1.0,0.28125,-0.02024537952277347
128,16,1.0,0.2890625,0.16086174922234178
128,17,1.0,0.30078125,-0.08792851693928494
128,18,1.0,0.31640625,0.05152015206239788
128,19,1.0,0.31640625,0.03344070556111206
128,20,1.0,0.2578125,-0.1245387494874674
128,21,0.9921875,0.296875,-0.04267739470054843
128,22,1.0,0.24609375,-0.10803914444688228
128,23,1.0,0.2890625,-0.08013071862476753
128,24,1.0,0.23828125,0.033021389156949466
128,25,0.9921875,0.2734375,-0.05839779015507571
128,26,1.0,0.28125,-0.059259521822227434
128,27,1.0,0.2890625,-0.09123033420159413
128,28,1.0,0.2578125,-0.05118773264463111
128,29,1.0,0.25,-0.010654192702206355
256,0,1.0,0.435546875,0.3331095708882627
256,1,0.9921875,0.443359375,0.18706584373218296
256,2,1.0,0.455078125,0.3402850991768256
256,3,0.9845700497463084,0.43964817474630835,0.24560199514502107
256,4,0.990713110347337,0.445791235347337,0.31261446508488144
256,5,0.99609375,0.439453125,0.28889715826908424
256,6,1.0,0.4453125,0.3115103349655596
256,7,0.989238720694674,0.465801220694674,0.3637588862408173
256,8,1.0,0.453125,0.3376936475816571
256,9,1.0,0.47265625,0.270082651690428
256,10,0.99609375,0.439453125,0.31129638212429633
256,11,1.0,0.44921875,0.417809744849777
256,12,0.99609375,0.4609375,0.2235765355227199
256,13,0.990713110347337,0.451650610347337,0.30710359813270033
256,14,1.0,0.4765625,0.4429821092608589
256,15,1.0,0.4453125,0.17407683424290374
256,16,0.99609375,0.46484375,0.19433903235484418
256,17,0.99609375,0.42578125,0.19607117022197176
256,18,1.0,0.455078125,0.267314137148567
256,19,0.985849389652663,0.437021264652663,0.2847616813616003
256,20,1.0,0.4375,0.28448430373737416
256,21,0.994619360347337,0.447744360347337,0.2301217244314715
256,22,1.0,0.462890625,0.3096515835947192
