sample_size,trial,mi_empirical,mi_miller,mi_chao
1437,0,0.9883751184640859,0.8314509709345104,0.880819244647366
1437,1,0.9887388559580375,0.830422919980306,0.8403440649929268
1437,2,0.9914303442995509,0.8324185140977416,0.9282503920256485
1437,3,0.9883493585750299,0.8303813697093375,0.8298131258103331
1437,4,0.9865590847310053,0.8278952016412349,0.8180281608451023
1437,5,0.9928131447348456,0.8320615789728414,0.8333534271294916
1437,6,0.9922530749803443,0.8367207158989247,0.9223975982651763
1437,7,0.9836139234760609,0.8239061990501737,0.815177998310203
1437,8,0.9913518604828555,0.8361674485134749,0.9234058324786337
1437,9,0.9905986256058963,0.8319347425161259,0.8385457408886338
1437,10,0.981289339766591,0.8212336682286648,0.8979139390275686
1437,11,0.9863659196085475,0.8249184596224653,0.8157743287468752
1437,12,0.982100870050314,0.8241328811846216,0.7985383353679709
1437,13,0.98885208767665,0.8277525748026069,0.8244145450322269
1437,14,0.986670349503031,0.8269626250771438,0.8859947987417699
1437,15,0.9932463780326315,0.8338866007187832,0.8526014708491292
1437,16,0.9876097284361737,0.8313814751306761,0.9060254729700015
1437,17,0.9911117923075274,0.8296643323214453,0.7968837533220415
1437,18,0.9901160849142079,0.8293645191522037,0.787062832000195
1437,19,0.9952993128029481,0.8352436412650219,0.9085203380943676
1437,20,0.9905201417892009,0.8335959942596254,0.9261953976532499
1437,21,0.9919758545620667,0.8347037599204522,0.9143790832273783
1437,22,0.9906559662587775,0.8330359245051241,0.8305993604790933
1437,23,0.9942622738358827,0.8387299147544631,0.8910004967457112
1437,24,0.9913292677318915,0.83301333175416,0.8424433356393146
1437,25,0.9901743803209716,0.8297707616710064,0.9085244162304061
1437,26,0.9908960344341056,0.835015728240647,0.8842189981271126
1437,27,0.9885335356846265,0.8298696525948561,0.8227122458938017
1437,28,0.9903585574305683,0.8337823570130318,0.919583503151082
1437,29,0.9902001402100277,0.8332759926804522,0.9233212486107765
2874,0,0.9840018372900226,0.8999726097326113,0.9603623098876339
2874,1,0.9878550154115072,0.903477840742057,0.9759405360827852
2874,2,0.9879753156304298,0.9023803260688432,0.9746630652975407
2874,3,0.97956257012455,0.8939675805629633,0.9606090456220189
2874,4,0.981620837361232,0.8942861122394504,0.9622127435160546
2874,5,0.9855382175443822,0.8999432279827956,0.9629918747158304
2874,6,0.9888460101011735,0.9044688354317232,0.9765228291744389
2874,7,0.9812102458493573,0.8959632033998097,0.9568144514131607
2874,8,0.9886136030703679,0.9038884812888788,0.975673112235427
2874,9,0.984468400371475,0.8995693050339663,0.9691703756180741
2874,10,0.989491843418363,0.9051146687489128,0.969972886045903
2874,11,0.9833146513628389,0.8980676089132913,0.9615018737264989
2874,12,0.98493050993865,0.8981177054849269,0.9639770762898258
2874,13,0.9825132163107584,0.8972661738612107,0.9614717895875339
2874,14,0.979806664934153,0.8950815431526639,0.9633854121335669
2874,15,0.9850624196449672,0.9001633243074585,0.973485874332936
2874,16,0.9890430958747091,0.9037960534251614,0.9728625455081041
2874,17,0.9846676747425434,0.8995946058490152,0.9729686853492931
2874,18,0.9843833301334625,0.9001801290200317,0.9604504773033061
2874,19,0.9848702186696456,0.899275229108059,0.974091649529425
2874,20,0.9811223066476452,0.8967451319781949,0.9692598817696352
2874,21,0.9836286244014827,0.899077476176013,0.9608669548711339
2874,22,0.9857313826668397,0.8996144724371946,0.964634027856121
